charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Apricot, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 48.00, KCAL, 
"Fat", 0.39, G, 0%
"Protein", 1.40, G, 3%
"Carbohydrate", 11.12, G, 4%
"Alcohol, ethyl", 0.0, G, 
"Water", 86.35, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 9.24, G, 
"Fiber", 2.0, G, 7%
"Calcium, Ca", 13.00, MG, 1%
"Iron, Fe", 0.39, MG, 2%
"Magnesium, Mg", 10.00, MG, 2%
"Phosphorus, P", 23.00, MG, 3%
"Potassium, K", 259.00, MG, 6%
"Sodium, Na", 1.00, MG, 0%
"Zinc, Zn", 0.20, MG, 2%
"Copper, Cu", 0.078, MG, 9%
"Selenium, Se", 0.1, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 96.00, UG, 11%
"Carotene, beta", 1094.00, UG, 
"Carotene, alpha", 19.00, UG, 
"Vitamin E", 0.89, MG, 4%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 104.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 89.00, UG, 
"Vitamin C", 10.0, MG, 11%
"Thiamin", 0.030, MG, 2%
"Riboflavin", 0.040, MG, 3%
"Niacin", 0.600, MG, 4%
"Vitamin B6", 0.054, MG, 4%
"Folate", 9.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 2.8, MG, 
"Vitamin K", 3.3, UG, 3%
"Folic acid", 0.00, UG, 
"Folate, food", 9.00, UG, 
"Folate, DFE", 9.00, UG, 2%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.027, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.024, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.170, G, 
"Octadecadienoic acid", 0.077, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.170, G, 
"Polyunsaturated fatty acids", 0.077, G, 
"Tocopherol, alpha", 0.89, MG, 
"Net carbs", 9.12, g, 
# Downloaded from https://www.nutritionvalue.org 
