charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Boysenberries, heavy syrup, canned
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 88.00, KCAL, 
"Fat", 0.12, G, 0%
"Protein", 0.99, G, 2%
"Carbohydrate", 22.31, G, 8%
"Folic acid", 0.00, UG, 
"Folate, DFE", 34.00, UG, 8%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.003, G, 
"Octadecanoic acid", 0.001, G, 
"Octadecenoic acid", 0.011, G, 
"Octadecadienoic acid", 0.045, G, 
"Octadecatrienoic acid", 0.023, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.001, G, 
"Docosenoic acid", 0.000, G, 
"Monounsaturated fatty acids", 0.012, G, 
"Polyunsaturated fatty acids", 0.068, G, 
"Saturated fatty acids", 0.004, G, 0%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Vitamin D, IU", 0.00, IU, 
"Alcohol, ethyl", 0.0, G, 
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 2.00, UG, 0%
"Fatty acids, total trans", 0.000, G, 
"Water", 76.26, G, 
"Calcium, Ca", 18.00, MG, 1%
"Potassium, K", 90.00, MG, 2%
"Zinc, Zn", 0.19, MG, 2%
"Niacin", 0.230, MG, 1%
"Pantothenic acid", 0.131, MG, 3%
"Vitamin B6", 0.038, MG, 3%
"Ash", 0.32, G, 
"Fiber", 2.6, G, 9%
"Iron, Fe", 0.43, MG, 2%
"Magnesium, Mg", 11.00, MG, 3%
"Phosphorus, P", 10.00, MG, 1%
"Sodium, Na", 3.00, MG, 0%
"Copper, Cu", 0.070, MG, 8%
"Manganese, Mn", 0.250, MG, 11%
"Vitamin A, IU", 40.00, IU, 
"Vitamin C", 6.2, MG, 7%
"Thiamin", 0.026, MG, 2%
"Riboflavin", 0.029, MG, 2%
"Folate", 34.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Folate, food", 34.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Selenium, Se", 0.4, UG, 1%
"Net carbs", 19.71, g, 
# Downloaded from https://www.nutritionvalue.org 
