charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Breadfruit, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 103.00, KCAL, 
"Fat", 0.23, G, 0%
"Protein", 1.07, G, 2%
"Carbohydrate", 27.12, G, 10%
"Folic acid", 0.00, UG, 
"Choline", 9.8, MG, 
"Folate, DFE", 14.00, UG, 4%
"Folate, food", 14.00, UG, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.031, G, 
"Octadecanoic acid", 0.017, G, 
"Octadecenoic acid", 0.032, G, 
"Octadecadienoic acid", 0.048, G, 
"Octadecatrienoic acid", 0.018, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Monounsaturated fatty acids", 0.034, G, 
"Polyunsaturated fatty acids", 0.066, G, 
"Saturated fatty acids", 0.048, G, 0%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.002, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Vitamin D, IU", 0.00, IU, 
"Vitamin K", 0.5, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Vitamin A, IU", 0.00, IU, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.10, MG, 0%
"Sugars", 11.00, G, 
"Lutein + zeaxanthin", 22.00, UG, 
"Alcohol, ethyl", 0.0, G, 
"Folate", 14.00, UG, 
"Vitamin B6", 0.100, MG, 8%
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Niacin", 0.900, MG, 6%
"Pantothenic acid", 0.457, MG, 9%
"Calcium, Ca", 17.00, MG, 1%
"Potassium, K", 490.00, MG, 10%
"Zinc, Zn", 0.12, MG, 1%
"Isoleucine", 0.064, G, 5%
"Leucine", 0.065, G, 2%
"Lysine", 0.037, G, 2%
"Cystine", 0.009, G, 
"Valine", 0.047, G, 3%
"Water", 70.65, G, 
"Vitamin B12", 0.00, UG, 0%
"Threonine", 0.052, G, 5%
"Methionine", 0.010, G, 
"Phenylalanine", 0.026, G, 
"Tyrosine", 0.019, G, 
"Cholesterol", 0.00, MG, 0%
"Vitamin C", 29.0, MG, 32%
"Thiamin", 0.110, MG, 9%
"Riboflavin", 0.030, MG, 2%
"Fiber", 4.9, G, 18%
"Iron, Fe", 0.54, MG, 3%
"Magnesium, Mg", 25.00, MG, 6%
"Phosphorus, P", 30.00, MG, 4%
"Sodium, Na", 2.00, MG, 0%
"Copper, Cu", 0.084, MG, 9%
"Manganese, Mn", 0.060, MG, 3%
"Ash", 0.93, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Vitamin D", 0.00, UG, 0%
"Selenium, Se", 0.6, UG, 1%
"Tocopherol, alpha", 0.10, MG, 
"Phenylalanine + Tyrosine", 0.045, G, 3%
"Methionine + Cysteine", 0.010, G, 1%
"Net carbs", 22.22, g, 
# Downloaded from https://www.nutritionvalue.org 
