charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cantaloupe, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 34.00, KCAL, 
"Fat", 0.18, G, 0%
"Protein", 0.82, G, 2%
"Carbohydrate", 8.16, G, 3%
"Alcohol, ethyl", 0.0, G, 
"Water", 90.20, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 7.88, G, 
"Fiber", 0.8, G, 3%
"Calcium, Ca", 9.00, MG, 1%
"Iron, Fe", 0.38, MG, 2%
"Magnesium, Mg", 13.00, MG, 3%
"Phosphorus, P", 17.00, MG, 2%
"Potassium, K", 157.00, MG, 3%
"Sodium, Na", 30.00, MG, 1%
"Zinc, Zn", 0.44, MG, 4%
"Copper, Cu", 0.085, MG, 9%
"Selenium, Se", 1.7, UG, 3%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 232.00, UG, 26%
"Carotene, beta", 2780.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.05, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 32.00, UG, 
"Vitamin C", 10.9, MG, 12%
"Thiamin", 0.049, MG, 4%
"Riboflavin", 0.027, MG, 2%
"Niacin", 0.694, MG, 4%
"Vitamin B6", 0.040, MG, 3%
"Folate", 14.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 7.6, MG, 
"Vitamin K", 2.7, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 14.00, UG, 
"Folate, DFE", 14.00, UG, 4%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.051, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.001, G, 
"Tetradecanoic acid", 0.001, G, 
"Hexadecanoic acid", 0.043, G, 
"Octadecanoic acid", 0.005, G, 
"Octadecenoic acid", 0.003, G, 
"Octadecadienoic acid", 0.035, G, 
"Octadecatrienoic acid", 0.046, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.003, G, 
"Polyunsaturated fatty acids", 0.081, G, 
"Tocopherol, alpha", 0.05, MG, 
"Net carbs", 7.36, g, 
# Downloaded from https://www.nutritionvalue.org 
