charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cherries, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 63.00, KCAL, 
"Fat", 0.20, G, 0%
"Protein", 1.06, G, 2%
"Carbohydrate", 16.01, G, 6%
"Alcohol, ethyl", 0.0, G, 
"Water", 82.25, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 12.82, G, 
"Fiber", 2.1, G, 8%
"Calcium, Ca", 13.00, MG, 1%
"Iron, Fe", 0.36, MG, 2%
"Magnesium, Mg", 11.00, MG, 3%
"Phosphorus, P", 21.00, MG, 3%
"Potassium, K", 222.00, MG, 5%
"Sodium, Na", 0.00, MG, 0%
"Zinc, Zn", 0.07, MG, 1%
"Copper, Cu", 0.060, MG, 7%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 3.00, UG, 0%
"Carotene, beta", 38.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.07, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 85.00, UG, 
"Vitamin C", 7.0, MG, 8%
"Thiamin", 0.027, MG, 2%
"Riboflavin", 0.033, MG, 3%
"Niacin", 0.154, MG, 1%
"Vitamin B6", 0.049, MG, 4%
"Folate", 4.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 6.1, MG, 
"Vitamin K", 2.1, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 4.00, UG, 
"Folate, DFE", 4.00, UG, 1%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.038, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.001, G, 
"Hexadecanoic acid", 0.027, G, 
"Octadecanoic acid", 0.009, G, 
"Octadecenoic acid", 0.047, G, 
"Octadecadienoic acid", 0.027, G, 
"Octadecatrienoic acid", 0.026, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.001, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.047, G, 
"Polyunsaturated fatty acids", 0.052, G, 
"Tocopherol, alpha", 0.07, MG, 
"Net carbs", 13.91, g, 
# Downloaded from https://www.nutritionvalue.org 
