charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cloudberries, raw (Alaska Native)
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 51.00, KCAL, 
"Fat", 0.80, G, 1%
"Protein", 2.40, G, 5%
"Carbohydrate", 8.60, G, 3%
"Water", 87.00, G, 
"Calcium, Ca", 18.00, MG, 1%
"Niacin", 0.900, MG, 6%
"Ash", 1.20, G, 
"Iron, Fe", 0.70, MG, 4%
"Phosphorus, P", 35.00, MG, 5%
"Vitamin A, IU", 210.00, IU, 
"Vitamin C", 158.0, MG, 176%
"Thiamin", 0.050, MG, 4%
"Riboflavin", 0.070, MG, 5%
"Net carbs", 8.6, g, 
# Downloaded from https://www.nutritionvalue.org 
