charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Coconut oil
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 833.00, KCAL, 
"Fat", 99.10, G, 127%
"Protein", 0.00, G, 0%
"Carbohydrate", 0.84, G, 0%
"Alcohol, ethyl", 0.0, G, 
"Water", 0.03, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 0.00, G, 
"Fiber", 0.0, G, 0%
"Calcium, Ca", 1.00, MG, 0%
"Iron, Fe", 0.05, MG, 0%
"Magnesium, Mg", 0.00, MG, 0%
"Phosphorus, P", 0.00, MG, 0%
"Potassium, K", 0.00, MG, 0%
"Sodium, Na", 0.00, MG, 0%
"Zinc, Zn", 0.02, MG, 0%
"Copper, Cu", 0.000, MG, 0%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.11, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 0.0, MG, 0%
"Thiamin", 0.000, MG, 0%
"Riboflavin", 0.000, MG, 0%
"Niacin", 0.000, MG, 0%
"Vitamin B6", 0.000, MG, 0%
"Folate", 0.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 0.3, MG, 
"Vitamin K", 0.6, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 0.00, UG, 
"Folate, DFE", 0.00, UG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 82.500, G, 412%
"Butanoic acid", 0.009, G, 
"Hexanoic acid", 0.477, G, 
"Octanoic acid", 6.800, G, 
"Decanoic acid", 5.390, G, 
"Dodecanoic acid", 41.800, G, 
"Tetradecanoic acid", 16.700, G, 
"Hexadecanoic acid", 8.640, G, 
"Octadecanoic acid", 2.520, G, 
"Octadecenoic acid", 6.270, G, 
"Octadecadienoic acid", 1.690, G, 
"Octadecatrienoic acid", 0.020, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.016, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.041, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 6.310, G, 
"Polyunsaturated fatty acids", 1.700, G, 
"Tocopherol, alpha", 0.11, MG, 
"Net carbs", 0.84, g, 
# Downloaded from https://www.nutritionvalue.org 
