charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cranberries, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 46.00, KCAL, 
"Fat", 0.13, G, 0%
"Protein", 0.46, G, 1%
"Carbohydrate", 11.97, G, 4%
"Folic acid", 0.00, UG, 
"Vitamin D, IU", 0.00, IU, 
"Alcohol, ethyl", 0.0, G, 
"Folate, DFE", 1.00, UG, 0%
"Folate, food", 1.00, UG, 
"Choline", 5.5, MG, 
"Betaine", 0.2, MG, 
"Fiber", 3.6, G, 13%
"Iron, Fe", 0.23, MG, 1%
"Ash", 0.12, G, 
"Fructose", 0.67, G, 
"Copper, Cu", 0.056, MG, 6%
"Manganese, Mn", 0.267, MG, 12%
"Vitamin A, IU", 63.00, IU, 
"Phosphorus, P", 11.00, MG, 2%
"Carotene, beta", 38.00, UG, 
"Vitamin C", 14.0, MG, 16%
"Vitamin K", 5.0, UG, 4%
"Cholesterol", 0.00, MG, 0%
"Fatty acids, total trans", 0.000, G, 
"Saturated fatty acids", 0.008, G, 0%
"Sucrose", 0.16, G, 
"Glucose (dextrose)", 3.44, G, 
"Water", 87.32, G, 
"Sugars", 4.27, G, 
"Potassium, K", 80.00, MG, 2%
"Zinc, Zn", 0.09, MG, 1%
"Vitamin E", 1.32, MG, 6%
"Retinol", 0.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.006, G, 
"Octadecanoic acid", 0.002, G, 
"Octadecenoic acid", 0.018, G, 
"Octadecadienoic acid", 0.033, G, 
"Octadecatrienoic acid", 0.022, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Monounsaturated fatty acids", 0.018, G, 
"Polyunsaturated fatty acids", 0.055, G, 
"Isoleucine", 0.033, G, 2%
"Leucine", 0.053, G, 2%
"Lysine", 0.039, G, 2%
"Cystine", 0.003, G, 
"Valine", 0.045, G, 2%
"Arginine", 0.056, G, 
"Histidine", 0.018, G, 3%
"Aspartic acid", 0.188, G, 
"Serine", 0.051, G, 
"Selenium, Se", 0.1, UG, 0%
"Calcium, Ca", 8.00, MG, 1%
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Maltose", 0.00, G, 
"Lutein + zeaxanthin", 91.00, UG, 
"Tocopherol, beta", 0.00, MG, 
"Tocopherol, gamma", 0.04, MG, 
"Tocotrienol, alpha", 0.00, MG, 
"Tocotrienol, beta", 0.00, MG, 
"Niacin", 0.101, MG, 1%
"Pantothenic acid", 0.295, MG, 6%
"Vitamin B6", 0.057, MG, 4%
"Vitamin K (Dihydrophylloquinone)", 0.00, UG, 
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.001, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Tocotrienol, delta", 0.00, MG, 
"Thiamin", 0.012, MG, 1%
"Riboflavin", 0.020, MG, 2%
"Folate", 1.00, UG, 
"Tryptophan", 0.003, G, 1%
"Threonine", 0.028, G, 3%
"Methionine", 0.003, G, 
"Phenylalanine", 0.036, G, 
"Tyrosine", 0.032, G, 
"Alanine", 0.049, G, 
"Glutamic acid", 0.146, G, 
"Glycine", 0.048, G, 
"Proline", 0.031, G, 
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Tocopherol, delta", 0.00, MG, 
"Tocotrienol, gamma", 0.29, MG, 
"Vitamin A, RAE", 3.00, UG, 0%
"Carotene, alpha", 0.00, UG, 
"Sodium, Na", 2.00, MG, 0%
"Lactose", 0.00, G, 
"Starch", 0.00, G, 
"Magnesium, Mg", 6.00, MG, 2%
"Galactose", 0.00, G, 
"Vitamin B12, added", 0.00, UG, 
"Vitamin E, added", 0.00, MG, 
"Vitamin D", 0.00, UG, 0%
"Tocopherol, alpha", 1.32, MG, 
"Phenylalanine + Tyrosine", 0.068, G, 4%
"Methionine + Cysteine", 0.003, G, 0%
"Net carbs", 8.37, g, 
# Downloaded from https://www.nutritionvalue.org 
