charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cucumber, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 15.00, KCAL, 
"Fat", 0.11, G, 0%
"Protein", 0.65, G, 1%
"Carbohydrate", 3.63, G, 1%
"Alcohol, ethyl", 0.0, G, 
"Water", 95.23, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 1.67, G, 
"Fiber", 0.5, G, 2%
"Calcium, Ca", 16.00, MG, 1%
"Iron, Fe", 0.28, MG, 2%
"Magnesium, Mg", 13.00, MG, 3%
"Phosphorus, P", 24.00, MG, 3%
"Potassium, K", 147.00, MG, 3%
"Sodium, Na", 2.00, MG, 0%
"Zinc, Zn", 0.20, MG, 2%
"Copper, Cu", 0.041, MG, 5%
"Selenium, Se", 0.3, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 5.00, UG, 1%
"Carotene, beta", 45.00, UG, 
"Carotene, alpha", 11.00, UG, 
"Vitamin E", 0.03, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 26.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 23.00, UG, 
"Vitamin C", 2.8, MG, 3%
"Thiamin", 0.027, MG, 2%
"Riboflavin", 0.033, MG, 3%
"Niacin", 0.098, MG, 1%
"Vitamin B6", 0.040, MG, 3%
"Folate", 7.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 6.0, MG, 
"Vitamin K", 16.4, UG, 14%
"Folic acid", 0.00, UG, 
"Folate, food", 7.00, UG, 
"Folate, DFE", 7.00, UG, 2%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.037, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.005, G, 
"Hexadecanoic acid", 0.028, G, 
"Octadecanoic acid", 0.005, G, 
"Octadecenoic acid", 0.005, G, 
"Octadecadienoic acid", 0.028, G, 
"Octadecatrienoic acid", 0.005, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.005, G, 
"Polyunsaturated fatty acids", 0.032, G, 
"Tocopherol, alpha", 0.03, MG, 
"Net carbs", 3.13, g, 
# Downloaded from https://www.nutritionvalue.org 
