charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Currants, raw, red and white
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 56.00, KCAL, 
"Fat", 0.20, G, 0%
"Protein", 1.40, G, 3%
"Carbohydrate", 13.80, G, 5%
"Folic acid", 0.00, UG, 
"Vitamin A, RAE", 2.00, UG, 0%
"Vitamin A, IU", 42.00, IU, 
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Carotene, beta", 25.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Fructose", 3.53, G, 
"Vitamin K", 11.0, UG, 9%
"Lutein + zeaxanthin", 47.00, UG, 
"Sucrose", 0.61, G, 
"Glucose (dextrose)", 3.22, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 7.37, G, 
"Folate, DFE", 8.00, UG, 2%
"Choline", 7.6, MG, 
"Folate, food", 8.00, UG, 
"Vitamin D, IU", 0.00, IU, 
"Alcohol, ethyl", 0.0, G, 
"Folate", 8.00, UG, 
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Monounsaturated fatty acids", 0.028, G, 
"Polyunsaturated fatty acids", 0.088, G, 
"Vitamin E", 0.10, MG, 0%
"Niacin", 0.100, MG, 1%
"Pantothenic acid", 0.064, MG, 1%
"Vitamin B6", 0.070, MG, 5%
"Hexadecanoic acid", 0.010, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.028, G, 
"Octadecadienoic acid", 0.053, G, 
"Octadecatrienoic acid", 0.035, G, 
"Calcium, Ca", 33.00, MG, 3%
"Potassium, K", 275.00, MG, 6%
"Zinc, Zn", 0.23, MG, 2%
"Water", 83.95, G, 
"Ash", 0.66, G, 
"Fiber", 4.3, G, 15%
"Iron, Fe", 1.00, MG, 6%
"Magnesium, Mg", 13.00, MG, 3%
"Phosphorus, P", 44.00, MG, 6%
"Sodium, Na", 1.00, MG, 0%
"Copper, Cu", 0.107, MG, 12%
"Manganese, Mn", 0.186, MG, 8%
"Vitamin B12", 0.00, UG, 0%
"Vitamin C", 41.0, MG, 46%
"Thiamin", 0.040, MG, 3%
"Riboflavin", 0.050, MG, 4%
"Saturated fatty acids", 0.017, G, 0%
"Hexadecenoic acid", 0.001, G, 
"Cholesterol", 0.00, MG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Vitamin D", 0.00, UG, 0%
"Selenium, Se", 0.6, UG, 1%
"Tocopherol, alpha", 0.10, MG, 
"Net carbs", 9.5, g, 
# Downloaded from https://www.nutritionvalue.org 
