charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Dragonfruit functional drinks by Functional Foods Inc.
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 31.00, KCAL, 
"Fat", 0.28, G, 0%
"Protein", 3.38, G, 7%
"Carbohydrate", 6.20, G, 2%
"Calcium, Ca", 20.00, MG, 2%
"Iron, Fe", 0.15, MG, 1%
"Magnesium, Mg", 7.00, MG, 2%
"Phosphorus, P", 93.00, MG, 13%
"Potassium, K", 39.00, MG, 1%
"Copper, Cu", 0.006, MG, 1%
"Iodine, I", 296.00, UG, 197%
"Manganese, Mn", 0.000, MG, 0%
"Selenium, Se", 0.0, UG, 0%
"Vitamin A, IU", 0.00, IU, 
"Vitamin C", 152.1, MG, 169%
"Niacin", 1.408, MG, 9%
"Pantothenic acid", 0.704, MG, 14%
"Vitamin B6", 0.141, MG, 11%
"Vitamin B12", 0.42, UG, 18%
"Cholesterol", 0.00, MG, 0%
"Sugars", 3.10, G, 
"Fiber", 2.0, G, 7%
"Sodium, Na", 13.00, MG, 1%
"Net carbs", 4.2, g, 
# Downloaded from https://www.nutritionvalue.org 
