charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Durian, raw or frozen
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 147.00, KCAL, 
"Fat", 5.33, G, 7%
"Protein", 1.47, G, 3%
"Carbohydrate", 27.09, G, 10%
"Cryptoxanthin, beta", 0.00, UG, 
"Folate, food", 36.00, UG, 
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Water", 64.99, G, 
"Calcium, Ca", 6.00, MG, 0%
"Potassium, K", 436.00, MG, 9%
"Zinc, Zn", 0.28, MG, 3%
"Niacin", 1.074, MG, 7%
"Pantothenic acid", 0.230, MG, 5%
"Vitamin B6", 0.316, MG, 24%
"Vitamin A, RAE", 2.00, UG, 0%
"Carotene, beta", 23.00, UG, 
"Carotene, alpha", 6.00, UG, 
"Vitamin C", 19.7, MG, 22%
"Thiamin", 0.374, MG, 31%
"Riboflavin", 0.200, MG, 15%
"Folate", 36.00, UG, 
"Ash", 1.12, G, 
"Fiber", 3.8, G, 14%
"Iron, Fe", 0.43, MG, 2%
"Magnesium, Mg", 30.00, MG, 8%
"Phosphorus, P", 39.00, MG, 6%
"Sodium, Na", 2.00, MG, 0%
"Copper, Cu", 0.207, MG, 23%
"Manganese, Mn", 0.325, MG, 14%
"Vitamin A, IU", 44.00, IU, 
"Vitamin B12", 0.00, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Net carbs", 23.29, g, 
# Downloaded from https://www.nutritionvalue.org 
