charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Eggplant, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 25.00, KCAL, 
"Fat", 0.18, G, 0%
"Protein", 0.98, G, 2%
"Carbohydrate", 5.88, G, 2%
"Folic acid", 0.00, UG, 
"Vitamin E", 0.30, MG, 1%
"Niacin", 0.649, MG, 4%
"Vitamin C", 2.2, MG, 2%
"Vitamin K", 3.5, UG, 3%
"Thiamin", 0.039, MG, 3%
"Riboflavin", 0.037, MG, 3%
"Folate", 22.00, UG, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Vitamin D, IU", 0.00, IU, 
"Vitamin A, RAE", 1.00, UG, 0%
"Folate, food", 22.00, UG, 
"Folate, DFE", 22.00, UG, 6%
"Choline", 6.9, MG, 
"Alcohol, ethyl", 0.0, G, 
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Isoleucine", 0.045, G, 3%
"Leucine", 0.064, G, 2%
"Lysine", 0.047, G, 2%
"Cystine", 0.006, G, 
"Valine", 0.053, G, 3%
"Arginine", 0.057, G, 
"Histidine", 0.023, G, 3%
"Aspartic acid", 0.164, G, 
"Serine", 0.042, G, 
"Hexadecanoic acid", 0.025, G, 
"Octadecanoic acid", 0.009, G, 
"Octadecenoic acid", 0.014, G, 
"Octadecadienoic acid", 0.063, G, 
"Octadecatrienoic acid", 0.013, G, 
"Monounsaturated fatty acids", 0.016, G, 
"Polyunsaturated fatty acids", 0.076, G, 
"Saturated fatty acids", 0.034, G, 0%
"Cholesterol", 0.00, MG, 0%
"Vitamin B12", 0.00, UG, 0%
"Phytosterols", 7.00, MG, 
"Hexadecenoic acid", 0.002, G, 
"Tetradecanoic acid", 0.000, G, 
"Tryptophan", 0.009, G, 3%
"Threonine", 0.037, G, 4%
"Methionine", 0.011, G, 
"Phenylalanine", 0.043, G, 
"Tyrosine", 0.027, G, 
"Alanine", 0.051, G, 
"Glutamic acid", 0.186, G, 
"Glycine", 0.041, G, 
"Proline", 0.043, G, 
"Lutein + zeaxanthin", 36.00, UG, 
"Sugars", 3.53, G, 
"Calcium, Ca", 9.00, MG, 1%
"Potassium, K", 229.00, MG, 5%
"Zinc, Zn", 0.16, MG, 1%
"Sucrose", 0.26, G, 
"Glucose (dextrose)", 1.58, G, 
"Water", 92.30, G, 
"Carotene, beta", 14.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Fiber", 3.0, G, 11%
"Iron, Fe", 0.23, MG, 1%
"Magnesium, Mg", 14.00, MG, 4%
"Phosphorus, P", 24.00, MG, 3%
"Sodium, Na", 2.00, MG, 0%
"Copper, Cu", 0.081, MG, 9%
"Manganese, Mn", 0.232, MG, 10%
"Vitamin A, IU", 23.00, IU, 
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Ash", 0.66, G, 
"Fructose", 1.54, G, 
"Vitamin B12, added", 0.00, UG, 
"Vitamin E, added", 0.00, MG, 
"Pantothenic acid", 0.281, MG, 6%
"Vitamin B6", 0.084, MG, 6%
"Vitamin D", 0.00, UG, 0%
"Selenium, Se", 0.3, UG, 1%
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Tocopherol, alpha", 0.30, MG, 
"Phenylalanine + Tyrosine", 0.07, G, 4%
"Methionine + Cysteine", 0.011, G, 1%
"Net carbs", 2.88, g, 
# Downloaded from https://www.nutritionvalue.org 
