charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Elderberries, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 73.00, KCAL, 
"Fat", 0.50, G, 1%
"Protein", 0.66, G, 1%
"Carbohydrate", 18.40, G, 7%
"Folic acid", 0.00, UG, 
"Folate, DFE", 6.00, UG, 2%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.018, G, 
"Octadecanoic acid", 0.005, G, 
"Octadecenoic acid", 0.080, G, 
"Octadecadienoic acid", 0.162, G, 
"Octadecatrienoic acid", 0.085, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Magnesium, Mg", 5.00, MG, 1%
"Folate, food", 6.00, UG, 
"Sodium, Na", 6.00, MG, 0%
"Copper, Cu", 0.061, MG, 7%
"Folate", 6.00, UG, 
"Alcohol, ethyl", 0.0, G, 
"Saturated fatty acids", 0.023, G, 0%
"Monounsaturated fatty acids", 0.080, G, 
"Polyunsaturated fatty acids", 0.247, G, 
"Zinc, Zn", 0.11, MG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 30.00, UG, 3%
"Fatty acids, total trans", 0.000, G, 
"Ash", 0.64, G, 
"Vitamin C", 36.0, MG, 40%
"Thiamin", 0.070, MG, 6%
"Riboflavin", 0.060, MG, 5%
"Phosphorus, P", 39.00, MG, 6%
"Fiber", 7.0, G, 25%
"Iron, Fe", 1.60, MG, 9%
"Tryptophan", 0.013, G, 5%
"Threonine", 0.027, G, 3%
"Methionine", 0.014, G, 
"Phenylalanine", 0.040, G, 
"Tyrosine", 0.051, G, 
"Alanine", 0.030, G, 
"Glutamic acid", 0.096, G, 
"Glycine", 0.036, G, 
"Proline", 0.025, G, 
"Cholesterol", 0.00, MG, 0%
"Vitamin B12", 0.00, UG, 0%
"Vitamin A, IU", 600.00, IU, 
"Water", 79.80, G, 
"Calcium, Ca", 38.00, MG, 3%
"Potassium, K", 280.00, MG, 6%
"Niacin", 0.500, MG, 3%
"Pantothenic acid", 0.140, MG, 3%
"Vitamin B6", 0.230, MG, 18%
"Isoleucine", 0.027, G, 2%
"Leucine", 0.060, G, 2%
"Lysine", 0.026, G, 1%
"Cystine", 0.015, G, 
"Valine", 0.033, G, 2%
"Arginine", 0.047, G, 
"Histidine", 0.015, G, 2%
"Aspartic acid", 0.058, G, 
"Serine", 0.032, G, 
"Selenium, Se", 0.6, UG, 1%
"Phenylalanine + Tyrosine", 0.091, G, 5%
"Methionine + Cysteine", 0.014, G, 1%
"Net carbs", 11.4, g, 
# Downloaded from https://www.nutritionvalue.org 
