charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Feijoa, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 61.00, KCAL, 
"Fat", 0.42, G, 1%
"Protein", 0.71, G, 1%
"Carbohydrate", 15.21, G, 6%
"Folic acid", 0.00, UG, 
"Retinol", 0.00, UG, 
"Tryptophan", 0.007, G, 2%
"Threonine", 0.019, G, 2%
"Methionine", 0.007, G, 
"Phenylalanine", 0.019, G, 
"Tyrosine", 0.009, G, 
"Alanine", 0.038, G, 
"Glutamic acid", 0.132, G, 
"Glycine", 0.028, G, 
"Proline", 0.019, G, 
"Dodecanoic acid", 0.001, G, 
"Tetradecanoic acid", 0.003, G, 
"Cis-octadecenoic acid", 0.056, G, 
"Linoleic acid n-6 (LA)", 0.11, G, 
"Saturated fatty acids", 0.104, G, 1%
"α-linolenic acid n-3 (ALA)", 0.03, G, 
"Ash", 0.38, G, 
"Decanoic acid", 0.003, G, 
"Hexadecanoic acid", 0.075, G, 
"Octadecanoic acid", 0.014, G, 
"Eicosanoic acid", 0.003, G, 
"Octadecenoic acid", 0.056, G, 
"Octadecadienoic acid", 0.107, G, 
"Octadecatrienoic acid", 0.029, G, 
"Monounsaturated fatty acids", 0.056, G, 
"Polyunsaturated fatty acids", 0.136, G, 
"Water", 83.28, G, 
"Isoleucine", 0.019, G, 1%
"Leucine", 0.028, G, 1%
"Lysine", 0.038, G, 2%
"Cystine", 0.007, G, 
"Valine", 0.019, G, 1%
"Arginine", 0.019, G, 
"Histidine", 0.009, G, 1%
"Aspartic acid", 0.075, G, 
"Serine", 0.028, G, 
"Butanoic acid", 0.004, G, 
"Hexanoic acid", 0.000, G, 
"Sugars", 8.20, G, 
"Calcium, Ca", 17.00, MG, 1%
"Potassium, K", 172.00, MG, 4%
"Zinc, Zn", 0.06, MG, 1%
"Vitamin E", 0.16, MG, 1%
"Lutein + zeaxanthin", 27.00, UG, 
"Tocopherol, beta", 0.00, MG, 
"Tocopherol, gamma", 0.03, MG, 
"Tocotrienol, alpha", 0.00, MG, 
"Tocotrienol, beta", 0.00, MG, 
"Niacin", 0.295, MG, 2%
"Pantothenic acid", 0.233, MG, 5%
"Vitamin B6", 0.067, MG, 5%
"Vitamin K (Menaquinone-4)", 0.00, UG, 
"Sucrose", 2.93, G, 
"Glucose (dextrose)", 2.32, G, 
"Maltose", 0.00, G, 
"Pentadecanoic acid", 0.000, G, 
"Trans-octadecenoic acid", 0.000, G, 
"Docosenoic trans acid", 0.000, G, 
"Trans-octadecadienoic acid", 0.000, G, 
"Octadecadienoic CLAs acid", 0.000, G, 
"Cis,cis-eicosadienoic n-6 acid", 0.000, G, 
"Cis-hexadecenoic acid", 0.000, G, 
"γ-linolenic acid n-6 (GLA)", 0.00, G, 
"Eicosadienoic acid", 0.000, G, 
"Fatty acids, total trans-polyenoic", 0.000, G, 
"Eicosadienoic n-6 acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Folate, DFE", 23.00, UG, 6%
"Starch", 0.00, G, 
"Fructose", 2.95, G, 
"Lactose", 0.00, G, 
"Galactose", 0.00, G, 
"Fiber", 6.4, G, 23%
"Iron, Fe", 0.14, MG, 1%
"Magnesium, Mg", 9.00, MG, 2%
"Phosphorus, P", 19.00, MG, 3%
"Sodium, Na", 3.00, MG, 0%
"Copper, Cu", 0.036, MG, 4%
"Manganese, Mn", 0.084, MG, 4%
"Vitamin A, IU", 6.00, IU, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 2.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Cryptoxanthin, beta", 3.00, UG, 
"Lycopene", 5.00, UG, 
"Tocopherol, delta", 0.00, MG, 
"Tocotrienol, gamma", 0.01, MG, 
"Tocotrienol, delta", 0.00, MG, 
"Vitamin C", 32.9, MG, 37%
"Thiamin", 0.006, MG, 0%
"Riboflavin", 0.018, MG, 1%
"Folate", 23.00, UG, 
"Vitamin K (Dihydrophylloquinone)", 0.00, UG, 
"Vitamin K", 3.5, UG, 3%
"Folate, food", 23.00, UG, 
"Eicosadienoic n-3 acid", 0.000, G, 
"Docosatetraenoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Docosenoic cis acid", 0.000, G, 
"Heptadecenoic acid", 0.000, G, 
"Fatty acids, total trans-monoenoic", 0.000, G, 
"Pentadecenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Docosanoic acid", 0.000, G, 
"Tetradecenoic acid", 0.000, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Heptadecanoic acid", 0.000, G, 
"Tetracosanoic acid", 0.000, G, 
"Trans-hexadecenoic acid", 0.000, G, 
"Tetracosenoic cis acid", 0.000, G, 
"Fatty acids, total trans", 0.000, G, 
"Vitamin B12", 0.00, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Tocopherol, alpha", 0.16, MG, 
"Phenylalanine + Tyrosine", 0.028, G, 2%
"Methionine + Cysteine", 0.007, G, 1%
"Net carbs", 8.81, g, 
# Downloaded from https://www.nutritionvalue.org 
