charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fig, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 74.00, KCAL, 
"Fat", 0.30, G, 0%
"Protein", 0.75, G, 2%
"Carbohydrate", 19.18, G, 7%
"Alcohol, ethyl", 0.0, G, 
"Water", 79.11, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 16.26, G, 
"Fiber", 2.9, G, 10%
"Calcium, Ca", 35.00, MG, 3%
"Iron, Fe", 0.37, MG, 2%
"Magnesium, Mg", 17.00, MG, 4%
"Phosphorus, P", 14.00, MG, 2%
"Potassium, K", 232.00, MG, 5%
"Sodium, Na", 1.00, MG, 0%
"Zinc, Zn", 0.15, MG, 1%
"Copper, Cu", 0.070, MG, 8%
"Selenium, Se", 0.2, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 7.00, UG, 1%
"Carotene, beta", 85.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.11, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 9.00, UG, 
"Vitamin C", 2.0, MG, 2%
"Thiamin", 0.060, MG, 5%
"Riboflavin", 0.050, MG, 4%
"Niacin", 0.400, MG, 2%
"Vitamin B6", 0.113, MG, 9%
"Folate", 6.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 4.7, MG, 
"Vitamin K", 4.7, UG, 4%
"Folic acid", 0.00, UG, 
"Folate, food", 6.00, UG, 
"Folate, DFE", 6.00, UG, 2%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.060, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.002, G, 
"Hexadecanoic acid", 0.046, G, 
"Octadecanoic acid", 0.012, G, 
"Octadecenoic acid", 0.066, G, 
"Octadecadienoic acid", 0.144, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.066, G, 
"Polyunsaturated fatty acids", 0.144, G, 
"Tocopherol, alpha", 0.11, MG, 
"Net carbs", 16.28, g, 
# Downloaded from https://www.nutritionvalue.org 
