charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Goji berries, dried
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 349.00, KCAL, 
"Fat", 0.39, G, 0%
"Protein", 14.26, G, 29%
"Carbohydrate", 77.06, G, 28%
"Ash", 0.78, G, 
"Fiber", 13.0, G, 46%
"Iron, Fe", 6.80, MG, 38%
"Sodium, Na", 298.00, MG, 13%
"Vitamin A, IU", 26822.00, IU, 
"Vitamin C", 48.4, MG, 54%
"Threonine", 0.358, G, 34%
"Methionine", 0.087, G, 
"Phenylalanine", 0.271, G, 
"Tyrosine", 0.222, G, 
"Alanine", 0.698, G, 
"Glutamic acid", 1.431, G, 
"Glycine", 0.304, G, 
"Proline", 1.000, G, 
"Cholesterol", 0.00, MG, 0%
"Fatty acids, total trans", 0.000, G, 
"Saturated fatty acids", 0.000, G, 0%
"Water", 7.50, G, 
"Sugars", 45.61, G, 
"Calcium, Ca", 190.00, MG, 15%
"Isoleucine", 0.261, G, 19%
"Leucine", 0.456, G, 17%
"Lysine", 0.233, G, 11%
"Cystine", 0.144, G, 
"Valine", 0.316, G, 17%
"Arginine", 0.722, G, 
"Histidine", 0.157, G, 22%
"Aspartic acid", 1.711, G, 
"Serine", 0.498, G, 
"Phenylalanine + Tyrosine", 0.493, G, 28%
"Methionine + Cysteine", 0.087, G, 8%
"Net carbs", 64.06, g, 
# Downloaded from https://www.nutritionvalue.org 
