charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Gooseberries, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 44.00, KCAL, 
"Fat", 0.58, G, 1%
"Protein", 0.88, G, 2%
"Carbohydrate", 10.18, G, 4%
"Folic acid", 0.00, UG, 
"Folate, DFE", 6.00, UG, 2%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Folate, food", 6.00, UG, 
"Folate", 6.00, UG, 
"Alcohol, ethyl", 0.0, G, 
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 15.00, UG, 2%
"Fatty acids, total trans", 0.000, G, 
"Vitamin E", 0.37, MG, 2%
"Niacin", 0.300, MG, 2%
"Pantothenic acid", 0.286, MG, 6%
"Vitamin B6", 0.080, MG, 6%
"Hexadecanoic acid", 0.019, G, 
"Octadecanoic acid", 0.013, G, 
"Octadecenoic acid", 0.051, G, 
"Octadecadienoic acid", 0.271, G, 
"Octadecatrienoic acid", 0.046, G, 
"Monounsaturated fatty acids", 0.051, G, 
"Polyunsaturated fatty acids", 0.317, G, 
"Water", 87.87, G, 
"Calcium, Ca", 25.00, MG, 2%
"Potassium, K", 198.00, MG, 4%
"Zinc, Zn", 0.12, MG, 1%
"Ash", 0.49, G, 
"Vitamin C", 27.7, MG, 31%
"Thiamin", 0.040, MG, 3%
"Riboflavin", 0.030, MG, 2%
"Fiber", 4.3, G, 15%
"Iron, Fe", 0.31, MG, 2%
"Magnesium, Mg", 10.00, MG, 2%
"Phosphorus, P", 27.00, MG, 4%
"Sodium, Na", 1.00, MG, 0%
"Copper, Cu", 0.070, MG, 8%
"Manganese, Mn", 0.144, MG, 6%
"Vitamin A, IU", 290.00, IU, 
"Vitamin B12", 0.00, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.038, G, 0%
"Selenium, Se", 0.6, UG, 1%
"Tocopherol, alpha", 0.37, MG, 
"Net carbs", 5.88, g, 
# Downloaded from https://www.nutritionvalue.org 
