charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Grapes, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 69.00, KCAL, 
"Fat", 0.16, G, 0%
"Protein", 0.72, G, 1%
"Carbohydrate", 18.10, G, 7%
"Alcohol, ethyl", 0.0, G, 
"Water", 80.54, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 15.48, G, 
"Fiber", 0.9, G, 3%
"Calcium, Ca", 10.00, MG, 1%
"Iron, Fe", 0.36, MG, 2%
"Magnesium, Mg", 7.00, MG, 2%
"Phosphorus, P", 20.00, MG, 3%
"Potassium, K", 191.00, MG, 4%
"Sodium, Na", 2.00, MG, 0%
"Zinc, Zn", 0.07, MG, 1%
"Copper, Cu", 0.127, MG, 14%
"Selenium, Se", 0.1, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 3.00, UG, 0%
"Carotene, beta", 39.00, UG, 
"Carotene, alpha", 1.00, UG, 
"Vitamin E", 0.19, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 72.00, UG, 
"Vitamin C", 3.2, MG, 4%
"Thiamin", 0.069, MG, 6%
"Riboflavin", 0.070, MG, 5%
"Niacin", 0.188, MG, 1%
"Vitamin B6", 0.086, MG, 7%
"Folate", 2.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 5.6, MG, 
"Vitamin K", 14.6, UG, 12%
"Folic acid", 0.00, UG, 
"Folate, food", 2.00, UG, 
"Folate, DFE", 2.00, UG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.054, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.001, G, 
"Hexadecanoic acid", 0.046, G, 
"Octadecanoic acid", 0.006, G, 
"Octadecenoic acid", 0.007, G, 
"Octadecadienoic acid", 0.037, G, 
"Octadecatrienoic acid", 0.011, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.007, G, 
"Polyunsaturated fatty acids", 0.048, G, 
"Tocopherol, alpha", 0.19, MG, 
"Net carbs", 17.2, g, 
# Downloaded from https://www.nutritionvalue.org 
