charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Grapefruit, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 42.00, KCAL, 
"Fat", 0.14, G, 0%
"Protein", 0.77, G, 2%
"Carbohydrate", 10.66, G, 4%
"Alcohol, ethyl", 0.0, G, 
"Water", 88.06, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 6.89, G, 
"Fiber", 1.6, G, 6%
"Calcium, Ca", 22.00, MG, 2%
"Iron, Fe", 0.08, MG, 0%
"Magnesium, Mg", 9.00, MG, 2%
"Phosphorus, P", 18.00, MG, 3%
"Potassium, K", 135.00, MG, 3%
"Sodium, Na", 0.00, MG, 0%
"Zinc, Zn", 0.07, MG, 1%
"Copper, Cu", 0.032, MG, 4%
"Selenium, Se", 0.1, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 58.00, UG, 6%
"Carotene, beta", 686.00, UG, 
"Carotene, alpha", 3.00, UG, 
"Vitamin E", 0.13, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 6.00, UG, 
"Lycopene", 1419.00, UG, 
"Lutein + zeaxanthin", 5.00, UG, 
"Vitamin C", 31.2, MG, 35%
"Thiamin", 0.043, MG, 4%
"Riboflavin", 0.031, MG, 2%
"Niacin", 0.204, MG, 1%
"Vitamin B6", 0.053, MG, 4%
"Folate", 13.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 7.7, MG, 
"Vitamin K", 0.0, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 13.00, UG, 
"Folate, DFE", 13.00, UG, 3%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.021, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.018, G, 
"Octadecanoic acid", 0.002, G, 
"Octadecenoic acid", 0.018, G, 
"Octadecadienoic acid", 0.029, G, 
"Octadecatrienoic acid", 0.008, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.002, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.020, G, 
"Polyunsaturated fatty acids", 0.036, G, 
"Tocopherol, alpha", 0.13, MG, 
"Net carbs", 9.06, g, 
# Downloaded from https://www.nutritionvalue.org 
