charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Guava, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 68.00, KCAL, 
"Fat", 0.95, G, 1%
"Protein", 2.55, G, 5%
"Carbohydrate", 14.32, G, 5%
"Alcohol, ethyl", 0.0, G, 
"Water", 80.80, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 8.92, G, 
"Fiber", 5.4, G, 19%
"Calcium, Ca", 18.00, MG, 1%
"Iron, Fe", 0.26, MG, 1%
"Magnesium, Mg", 22.00, MG, 6%
"Phosphorus, P", 40.00, MG, 6%
"Potassium, K", 417.00, MG, 9%
"Sodium, Na", 2.00, MG, 0%
"Zinc, Zn", 0.23, MG, 2%
"Copper, Cu", 0.230, MG, 26%
"Selenium, Se", 0.6, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 31.00, UG, 3%
"Carotene, beta", 374.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.73, MG, 3%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 5204.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 228.3, MG, 254%
"Thiamin", 0.067, MG, 6%
"Riboflavin", 0.040, MG, 3%
"Niacin", 1.084, MG, 7%
"Vitamin B6", 0.110, MG, 8%
"Folate", 49.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 7.6, MG, 
"Vitamin K", 2.6, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 49.00, UG, 
"Folate, DFE", 49.00, UG, 12%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.272, G, 1%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.019, G, 
"Hexadecanoic acid", 0.228, G, 
"Octadecanoic acid", 0.025, G, 
"Octadecenoic acid", 0.082, G, 
"Octadecadienoic acid", 0.288, G, 
"Octadecatrienoic acid", 0.112, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.005, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.087, G, 
"Polyunsaturated fatty acids", 0.401, G, 
"Tocopherol, alpha", 0.73, MG, 
"Net carbs", 8.92, g, 
# Downloaded from https://www.nutritionvalue.org 
