charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Honeydew melon, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 36.00, KCAL, 
"Fat", 0.14, G, 0%
"Protein", 0.54, G, 1%
"Carbohydrate", 9.09, G, 3%
"Alcohol, ethyl", 0.0, G, 
"Water", 89.82, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 8.12, G, 
"Fiber", 0.8, G, 3%
"Calcium, Ca", 6.00, MG, 0%
"Iron, Fe", 0.17, MG, 1%
"Magnesium, Mg", 10.00, MG, 2%
"Phosphorus, P", 11.00, MG, 2%
"Potassium, K", 228.00, MG, 5%
"Sodium, Na", 18.00, MG, 1%
"Zinc, Zn", 0.09, MG, 1%
"Copper, Cu", 0.024, MG, 3%
"Selenium, Se", 0.7, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 3.00, UG, 0%
"Carotene, beta", 30.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.02, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 27.00, UG, 
"Vitamin C", 18.0, MG, 20%
"Thiamin", 0.038, MG, 3%
"Riboflavin", 0.012, MG, 1%
"Niacin", 0.418, MG, 3%
"Vitamin B6", 0.088, MG, 7%
"Folate", 19.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 7.6, MG, 
"Vitamin K", 2.9, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 19.00, UG, 
"Folate, DFE", 19.00, UG, 5%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.038, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.002, G, 
"Tetradecanoic acid", 0.002, G, 
"Hexadecanoic acid", 0.032, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.003, G, 
"Octadecadienoic acid", 0.026, G, 
"Octadecatrienoic acid", 0.033, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.003, G, 
"Polyunsaturated fatty acids", 0.059, G, 
"Tocopherol, alpha", 0.02, MG, 
"Net carbs", 8.29, g, 
# Downloaded from https://www.nutritionvalue.org 
