charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Huckleberries, raw (Alaska Native)
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 37.00, KCAL, 
"Fat", 0.10, G, 0%
"Protein", 0.40, G, 1%
"Carbohydrate", 8.70, G, 3%
"Water", 90.70, G, 
"Calcium, Ca", 15.00, MG, 1%
"Niacin", 0.300, MG, 2%
"Ash", 0.10, G, 
"Iron, Fe", 0.30, MG, 2%
"Sodium, Na", 10.00, MG, 0%
"Vitamin A, IU", 79.00, IU, 
"Vitamin C", 2.8, MG, 3%
"Thiamin", 0.010, MG, 1%
"Riboflavin", 0.030, MG, 2%
"Net carbs", 8.7, g, 
# Downloaded from https://www.nutritionvalue.org 
