charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Jackfruit, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 95.00, KCAL, 
"Fat", 0.64, G, 1%
"Protein", 1.72, G, 3%
"Carbohydrate", 23.25, G, 8%
"Folic acid", 0.00, UG, 
"Sucrose", 0.42, G, 
"Glucose (dextrose)", 9.48, G, 
"Maltose", 0.00, G, 
"Niacin", 0.920, MG, 6%
"Pantothenic acid", 0.235, MG, 5%
"Vitamin B6", 0.329, MG, 25%
"Sugars", 19.08, G, 
"Calcium, Ca", 24.00, MG, 2%
"Potassium, K", 448.00, MG, 10%
"Zinc, Zn", 0.13, MG, 1%
"Isoleucine", 0.069, G, 5%
"Leucine", 0.103, G, 4%
"Lysine", 0.069, G, 3%
"Cystine", 0.017, G, 
"Valine", 0.086, G, 5%
"Arginine", 0.138, G, 
"Histidine", 0.034, G, 5%
"Aspartic acid", 0.172, G, 
"Serine", 0.103, G, 
"Hexanoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Trans-octadecenoic acid", 0.000, G, 
"Docosenoic trans acid", 0.000, G, 
"Trans-octadecadienoic acid", 0.000, G, 
"Octadecadienoic CLAs acid", 0.000, G, 
"Cis,cis-eicosadienoic n-6 acid", 0.000, G, 
"γ-linolenic acid n-6 (GLA)", 0.00, G, 
"Eicosadienoic acid", 0.000, G, 
"Fatty acids, total trans-polyenoic", 0.000, G, 
"Eicosadienoic n-6 acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Folate, food", 24.00, UG, 
"Tryptophan", 0.034, G, 12%
"Threonine", 0.086, G, 8%
"Methionine", 0.034, G, 
"Phenylalanine", 0.052, G, 
"Tyrosine", 0.103, G, 
"Alanine", 0.086, G, 
"Glutamic acid", 0.189, G, 
"Glycine", 0.086, G, 
"Proline", 0.017, G, 
"Eicosadienoic n-3 acid", 0.000, G, 
"Docosatetraenoic acid", 0.000, G, 
"Trans-hexadecenoic acid", 0.000, G, 
"Tetracosenoic cis acid", 0.000, G, 
"Docosenoic cis acid", 0.000, G, 
"Heptadecenoic acid", 0.000, G, 
"Fatty acids, total trans-monoenoic", 0.000, G, 
"Pentadecenoic acid", 0.000, G, 
"Thiamin", 0.105, MG, 9%
"Riboflavin", 0.055, MG, 4%
"Folate", 24.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Galactose", 0.00, G, 
"Fiber", 1.5, G, 5%
"Iron, Fe", 0.23, MG, 1%
"Magnesium, Mg", 29.00, MG, 7%
"Phosphorus, P", 21.00, MG, 3%
"Sodium, Na", 2.00, MG, 0%
"Copper, Cu", 0.076, MG, 8%
"Manganese, Mn", 0.043, MG, 2%
"Ash", 0.94, G, 
"Starch", 1.47, G, 
"Fructose", 9.19, G, 
"Lactose", 0.00, G, 
"Retinol", 0.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Alcohol, ethyl", 0.0, G, 
"Vitamin A, RAE", 5.00, UG, 1%
"Carotene, beta", 61.00, UG, 
"Carotene, alpha", 6.00, UG, 
"Cryptoxanthin, beta", 5.00, UG, 
"Lycopene", 0.00, UG, 
"Vitamin A, IU", 110.00, IU, 
"Dodecanoic acid", 0.004, G, 
"Tetradecanoic acid", 0.004, G, 
"Tocopherol, delta", 0.00, MG, 
"Tocotrienol, gamma", 0.00, MG, 
"Tocotrienol, delta", 0.00, MG, 
"Vitamin C", 13.7, MG, 15%
"α-linolenic acid n-3 (ALA)", 0.08, G, 
"Cis-octadecenoic acid", 0.127, G, 
"Linoleic acid n-6 (LA)", 0.01, G, 
"Saturated fatty acids", 0.195, G, 1%
"Heptadecanoic acid", 0.002, G, 
"Tetracosanoic acid", 0.004, G, 
"Docosanoic acid", 0.004, G, 
"Tetradecenoic acid", 0.004, G, 
"Hexadecenoic acid", 0.024, G, 
"Cis-hexadecenoic acid", 0.024, G, 
"Monounsaturated fatty acids", 0.155, G, 
"Polyunsaturated fatty acids", 0.094, G, 
"Pentadecanoic acid", 0.002, G, 
"Water", 73.46, G, 
"Vitamin E", 0.34, MG, 2%
"Lutein + zeaxanthin", 157.00, UG, 
"Tocopherol, beta", 0.03, MG, 
"Tocopherol, gamma", 0.00, MG, 
"Tocotrienol, alpha", 0.05, MG, 
"Tocotrienol, beta", 0.00, MG, 
"Decanoic acid", 0.028, G, 
"Hexadecanoic acid", 0.131, G, 
"Octadecanoic acid", 0.011, G, 
"Eicosanoic acid", 0.004, G, 
"Octadecenoic acid", 0.127, G, 
"Octadecadienoic acid", 0.015, G, 
"Octadecatrienoic acid", 0.079, G, 
"Butanoic acid", 0.000, G, 
"Folate, DFE", 24.00, UG, 6%
"Tocopherol, alpha", 0.34, MG, 
"Phenylalanine + Tyrosine", 0.155, G, 9%
"Methionine + Cysteine", 0.034, G, 3%
"Net carbs", 21.75, g, 
# Downloaded from https://www.nutritionvalue.org 
