charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Jambalaya with meat and rice
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 162.00, KCAL, 
"Fat", 7.97, G, 10%
"Protein", 13.77, G, 28%
"Carbohydrate", 8.64, G, 3%
"Alcohol, ethyl", 0.0, G, 
"Water", 68.27, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 0.94, G, 
"Fiber", 0.7, G, 2%
"Calcium, Ca", 24.00, MG, 2%
"Iron, Fe", 1.12, MG, 6%
"Magnesium, Mg", 19.00, MG, 5%
"Phosphorus, P", 136.00, MG, 19%
"Potassium, K", 241.00, MG, 5%
"Sodium, Na", 379.00, MG, 16%
"Zinc, Zn", 1.07, MG, 10%
"Copper, Cu", 0.080, MG, 9%
"Selenium, Se", 14.3, UG, 26%
"Retinol", 3.00, UG, 
"Vitamin A, RAE", 8.00, UG, 1%
"Carotene, beta", 64.00, UG, 
"Carotene, alpha", 1.00, UG, 
"Vitamin E", 0.68, MG, 3%
"Vitamin D", 0.20, UG, 1%
"Cryptoxanthin, beta", 2.00, UG, 
"Lycopene", 439.00, UG, 
"Lutein + zeaxanthin", 41.00, UG, 
"Vitamin C", 6.4, MG, 7%
"Thiamin", 0.225, MG, 19%
"Riboflavin", 0.149, MG, 11%
"Niacin", 4.405, MG, 28%
"Vitamin B6", 0.230, MG, 18%
"Folate", 22.00, UG, 
"Vitamin B12", 0.32, UG, 13%
"Choline", 41.8, MG, 
"Vitamin K", 4.3, UG, 4%
"Folic acid", 13.00, UG, 
"Folate, food", 9.00, UG, 
"Folate, DFE", 30.00, UG, 8%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 58.00, MG, 19%
"Saturated fatty acids", 2.212, G, 11%
"Butanoic acid", 0.001, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.003, G, 
"Dodecanoic acid", 0.003, G, 
"Tetradecanoic acid", 0.065, G, 
"Hexadecanoic acid", 1.506, G, 
"Octadecanoic acid", 0.598, G, 
"Octadecenoic acid", 3.008, G, 
"Octadecadienoic acid", 1.436, G, 
"Octadecatrienoic acid", 0.115, G, 
"Eicosatetraenoic acid", 0.027, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.261, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.049, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.001, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 3.319, G, 
"Polyunsaturated fatty acids", 1.617, G, 
"Tocopherol, alpha", 0.68, MG, 
"Net carbs", 7.94, g, 
# Downloaded from https://www.nutritionvalue.org 
