charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Jujube, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 79.00, KCAL, 
"Fat", 0.20, G, 0%
"Protein", 1.20, G, 2%
"Carbohydrate", 20.23, G, 7%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 2.00, UG, 0%
"Fatty acids, total trans", 0.000, G, 
"Water", 77.86, G, 
"Calcium, Ca", 21.00, MG, 2%
"Potassium, K", 250.00, MG, 5%
"Zinc, Zn", 0.05, MG, 0%
"Niacin", 0.900, MG, 6%
"Vitamin B6", 0.081, MG, 6%
"Ash", 0.51, G, 
"Vitamin C", 69.0, MG, 77%
"Thiamin", 0.020, MG, 2%
"Riboflavin", 0.040, MG, 3%
"Vitamin B12", 0.00, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Iron, Fe", 0.48, MG, 3%
"Magnesium, Mg", 10.00, MG, 2%
"Phosphorus, P", 23.00, MG, 3%
"Sodium, Na", 3.00, MG, 0%
"Copper, Cu", 0.073, MG, 8%
"Manganese, Mn", 0.084, MG, 4%
"Vitamin A, IU", 40.00, IU, 
"Net carbs", 20.23, g, 
# Downloaded from https://www.nutritionvalue.org 
