charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bell pepper strips by BELL-VIEW
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 67.00, KCAL, 
"Fat", 0.00, G, 0%
"Protein", 0.00, G, 0%
"Carbohydrate", 20.00, G, 7%
"Calcium, Ca", 0.00, MG, 0%
"Iron, Fe", 0.00, MG, 0%
"Vitamin A, IU", 0.00, IU, 
"Vitamin C", 30.0, MG, 33%
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Sugars", 16.67, G, 
"Sodium, Na", 2000.00, MG, 87%
"Fatty acids, total trans", 0.000, G, 
"Fiber", 3.3, G, 12%
"Net carbs", 16.7, g, 
# Downloaded from https://www.nutritionvalue.org 
