charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Lemon, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 29.00, KCAL, 
"Fat", 0.30, G, 0%
"Protein", 1.10, G, 2%
"Carbohydrate", 9.32, G, 3%
"Alcohol, ethyl", 0.0, G, 
"Water", 88.98, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 2.50, G, 
"Fiber", 2.8, G, 10%
"Calcium, Ca", 26.00, MG, 2%
"Iron, Fe", 0.60, MG, 3%
"Magnesium, Mg", 8.00, MG, 2%
"Phosphorus, P", 16.00, MG, 2%
"Potassium, K", 138.00, MG, 3%
"Sodium, Na", 2.00, MG, 0%
"Zinc, Zn", 0.06, MG, 1%
"Copper, Cu", 0.037, MG, 4%
"Selenium, Se", 0.4, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 1.00, UG, 0%
"Carotene, beta", 3.00, UG, 
"Carotene, alpha", 1.00, UG, 
"Vitamin E", 0.15, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 20.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 11.00, UG, 
"Vitamin C", 53.0, MG, 59%
"Thiamin", 0.040, MG, 3%
"Riboflavin", 0.020, MG, 2%
"Niacin", 0.100, MG, 1%
"Vitamin B6", 0.080, MG, 6%
"Folate", 11.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 5.1, MG, 
"Vitamin K", 0.0, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 11.00, UG, 
"Folate, DFE", 11.00, UG, 3%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.039, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.001, G, 
"Hexadecanoic acid", 0.035, G, 
"Octadecanoic acid", 0.002, G, 
"Octadecenoic acid", 0.010, G, 
"Octadecadienoic acid", 0.063, G, 
"Octadecatrienoic acid", 0.026, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.001, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.011, G, 
"Polyunsaturated fatty acids", 0.089, G, 
"Tocopherol, alpha", 0.15, MG, 
"Net carbs", 6.52, g, 
# Downloaded from https://www.nutritionvalue.org 
