charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Lime, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 30.00, KCAL, 
"Fat", 0.20, G, 0%
"Protein", 0.70, G, 1%
"Carbohydrate", 10.54, G, 4%
"Alcohol, ethyl", 0.0, G, 
"Water", 88.26, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 1.69, G, 
"Fiber", 2.8, G, 10%
"Calcium, Ca", 33.00, MG, 3%
"Iron, Fe", 0.60, MG, 3%
"Magnesium, Mg", 6.00, MG, 2%
"Phosphorus, P", 18.00, MG, 3%
"Potassium, K", 102.00, MG, 2%
"Sodium, Na", 2.00, MG, 0%
"Zinc, Zn", 0.11, MG, 1%
"Copper, Cu", 0.065, MG, 7%
"Selenium, Se", 0.4, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 2.00, UG, 0%
"Carotene, beta", 30.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.22, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 29.1, MG, 32%
"Thiamin", 0.030, MG, 2%
"Riboflavin", 0.020, MG, 2%
"Niacin", 0.200, MG, 1%
"Vitamin B6", 0.043, MG, 3%
"Folate", 8.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 5.1, MG, 
"Vitamin K", 0.6, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 8.00, UG, 
"Folate, DFE", 8.00, UG, 2%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.022, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.001, G, 
"Hexadecanoic acid", 0.020, G, 
"Octadecanoic acid", 0.001, G, 
"Octadecenoic acid", 0.016, G, 
"Octadecadienoic acid", 0.036, G, 
"Octadecatrienoic acid", 0.019, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.003, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.019, G, 
"Polyunsaturated fatty acids", 0.055, G, 
"Tocopherol, alpha", 0.22, MG, 
"Net carbs", 7.74, g, 
# Downloaded from https://www.nutritionvalue.org 
