charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Loquats, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 47.00, KCAL, 
"Fat", 0.20, G, 0%
"Protein", 0.43, G, 1%
"Carbohydrate", 12.14, G, 4%
"Folic acid", 0.00, UG, 
"Folate, DFE", 14.00, UG, 4%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 76.00, UG, 8%
"Fatty acids, total trans", 0.000, G, 
"Vitamin B12", 0.00, UG, 0%
"Vitamin C", 1.0, MG, 1%
"Thiamin", 0.019, MG, 2%
"Riboflavin", 0.024, MG, 2%
"Tryptophan", 0.005, G, 2%
"Threonine", 0.015, G, 1%
"Methionine", 0.004, G, 
"Phenylalanine", 0.014, G, 
"Tyrosine", 0.013, G, 
"Alanine", 0.024, G, 
"Glutamic acid", 0.061, G, 
"Glycine", 0.020, G, 
"Proline", 0.027, G, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.040, G, 0%
"Dodecanoic acid", 0.001, G, 
"Tetradecanoic acid", 0.001, G, 
"Phytosterols", 2.00, MG, 
"Fiber", 1.7, G, 6%
"Iron, Fe", 0.28, MG, 2%
"Magnesium, Mg", 13.00, MG, 3%
"Phosphorus, P", 27.00, MG, 4%
"Sodium, Na", 1.00, MG, 0%
"Copper, Cu", 0.040, MG, 4%
"Manganese, Mn", 0.148, MG, 6%
"Vitamin A, IU", 1528.00, IU, 
"Ash", 0.50, G, 
"Water", 86.73, G, 
"Calcium, Ca", 16.00, MG, 1%
"Potassium, K", 266.00, MG, 6%
"Zinc, Zn", 0.05, MG, 0%
"Niacin", 0.180, MG, 1%
"Monounsaturated fatty acids", 0.008, G, 
"Polyunsaturated fatty acids", 0.091, G, 
"Hexadecanoic acid", 0.032, G, 
"Octadecanoic acid", 0.004, G, 
"Octadecenoic acid", 0.008, G, 
"Octadecadienoic acid", 0.077, G, 
"Octadecatrienoic acid", 0.013, G, 
"Isoleucine", 0.015, G, 1%
"Leucine", 0.026, G, 1%
"Lysine", 0.023, G, 1%
"Cystine", 0.006, G, 
"Valine", 0.021, G, 1%
"Arginine", 0.014, G, 
"Histidine", 0.007, G, 1%
"Aspartic acid", 0.058, G, 
"Serine", 0.020, G, 
"Alcohol, ethyl", 0.0, G, 
"Folate", 14.00, UG, 
"Folate, food", 14.00, UG, 
"Vitamin B6", 0.100, MG, 8%
"Selenium, Se", 0.6, UG, 1%
"Phenylalanine + Tyrosine", 0.027, G, 2%
"Methionine + Cysteine", 0.004, G, 0%
"Net carbs", 10.44, g, 
# Downloaded from https://www.nutritionvalue.org 
