charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Lychee
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 66.00, KCAL, 
"Fat", 0.44, G, 1%
"Protein", 0.83, G, 2%
"Carbohydrate", 16.53, G, 6%
"Alcohol, ethyl", 0.0, G, 
"Water", 81.76, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 15.23, G, 
"Fiber", 1.3, G, 5%
"Calcium, Ca", 5.00, MG, 0%
"Iron, Fe", 0.31, MG, 2%
"Magnesium, Mg", 10.00, MG, 2%
"Phosphorus, P", 31.00, MG, 4%
"Potassium, K", 171.00, MG, 4%
"Sodium, Na", 1.00, MG, 0%
"Zinc, Zn", 0.07, MG, 1%
"Copper, Cu", 0.148, MG, 16%
"Selenium, Se", 0.6, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.07, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 71.5, MG, 79%
"Thiamin", 0.011, MG, 1%
"Riboflavin", 0.065, MG, 5%
"Niacin", 0.603, MG, 4%
"Vitamin B6", 0.100, MG, 8%
"Folate", 14.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 7.1, MG, 
"Vitamin K", 0.4, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 14.00, UG, 
"Folate, DFE", 14.00, UG, 4%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.099, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.002, G, 
"Hexadecanoic acid", 0.070, G, 
"Octadecanoic acid", 0.024, G, 
"Octadecenoic acid", 0.119, G, 
"Octadecadienoic acid", 0.067, G, 
"Octadecatrienoic acid", 0.065, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.001, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.120, G, 
"Polyunsaturated fatty acids", 0.132, G, 
"Tocopherol, alpha", 0.07, MG, 
"Net carbs", 15.23, g, 
# Downloaded from https://www.nutritionvalue.org 
