charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Tangerines, raw, (mandarin oranges)
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 53.00, KCAL, 
"Fat", 0.31, G, 0%
"Protein", 0.81, G, 2%
"Carbohydrate", 13.34, G, 5%
"Folic acid", 0.00, UG, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Vitamin D, IU", 0.00, IU, 
"Alcohol, ethyl", 0.0, G, 
"Sodium, Na", 2.00, MG, 0%
"Vitamin A, IU", 681.00, IU, 
"Vitamin A, RAE", 34.00, UG, 4%
"Carotene, beta", 155.00, UG, 
"Choline", 10.2, MG, 
"Betaine", 0.1, MG, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.035, G, 
"Octadecanoic acid", 0.002, G, 
"Octadecenoic acid", 0.053, G, 
"Octadecadienoic acid", 0.048, G, 
"Octadecatrienoic acid", 0.018, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Monounsaturated fatty acids", 0.060, G, 
"Polyunsaturated fatty acids", 0.065, G, 
"Saturated fatty acids", 0.039, G, 0%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.002, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.007, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Folate, food", 16.00, UG, 
"Folate, DFE", 16.00, UG, 4%
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Lutein + zeaxanthin", 138.00, UG, 
"Cryptoxanthin, beta", 407.00, UG, 
"Lycopene", 0.00, UG, 
"Carotene, alpha", 101.00, UG, 
"Vitamin K (Dihydrophylloquinone)", 0.00, UG, 
"Vitamin K", 0.0, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Vitamin B12", 0.00, UG, 0%
"Vitamin B12, added", 0.00, UG, 
"Vitamin E, added", 0.00, MG, 
"Vitamin D", 0.00, UG, 0%
"Isoleucine", 0.017, G, 1%
"Leucine", 0.028, G, 1%
"Lysine", 0.032, G, 2%
"Cystine", 0.002, G, 
"Valine", 0.021, G, 1%
"Arginine", 0.068, G, 
"Histidine", 0.011, G, 2%
"Aspartic acid", 0.129, G, 
"Serine", 0.033, G, 
"Sucrose", 6.05, G, 
"Glucose (dextrose)", 2.13, G, 
"Maltose", 0.00, G, 
"Water", 85.17, G, 
"Tocopherol, beta", 0.00, MG, 
"Tocopherol, gamma", 0.00, MG, 
"Tocotrienol, alpha", 0.05, MG, 
"Tocotrienol, beta", 0.00, MG, 
"Niacin", 0.376, MG, 2%
"Pantothenic acid", 0.216, MG, 4%
"Vitamin B6", 0.078, MG, 6%
"Sugars", 10.58, G, 
"Calcium, Ca", 37.00, MG, 3%
"Potassium, K", 166.00, MG, 4%
"Zinc, Zn", 0.07, MG, 1%
"Selenium, Se", 0.1, UG, 0%
"Vitamin E", 0.20, MG, 1%
"Tocopherol, delta", 0.00, MG, 
"Tocotrienol, gamma", 0.00, MG, 
"Tocotrienol, delta", 0.00, MG, 
"Vitamin C", 26.7, MG, 30%
"Thiamin", 0.058, MG, 5%
"Riboflavin", 0.036, MG, 3%
"Folate", 16.00, UG, 
"Tryptophan", 0.002, G, 1%
"Threonine", 0.016, G, 2%
"Methionine", 0.002, G, 
"Phenylalanine", 0.018, G, 
"Tyrosine", 0.015, G, 
"Alanine", 0.028, G, 
"Glutamic acid", 0.061, G, 
"Glycine", 0.019, G, 
"Proline", 0.074, G, 
"Ash", 0.38, G, 
"Starch", 0.00, G, 
"Fructose", 2.40, G, 
"Lactose", 0.00, G, 
"Copper, Cu", 0.042, MG, 5%
"Manganese, Mn", 0.039, MG, 2%
"Galactose", 0.00, G, 
"Fiber", 1.8, G, 6%
"Iron, Fe", 0.15, MG, 1%
"Magnesium, Mg", 12.00, MG, 3%
"Phosphorus, P", 20.00, MG, 3%
"Tocopherol, alpha", 0.20, MG, 
"Phenylalanine + Tyrosine", 0.033, G, 2%
"Methionine + Cysteine", 0.002, G, 0%
"Net carbs", 11.54, g, 
# Downloaded from https://www.nutritionvalue.org 
