charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Mango, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 60.00, KCAL, 
"Fat", 0.38, G, 0%
"Protein", 0.82, G, 2%
"Carbohydrate", 14.98, G, 5%
"Alcohol, ethyl", 0.0, G, 
"Water", 83.46, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 13.66, G, 
"Fiber", 1.6, G, 6%
"Calcium, Ca", 11.00, MG, 1%
"Iron, Fe", 0.16, MG, 1%
"Magnesium, Mg", 10.00, MG, 2%
"Phosphorus, P", 14.00, MG, 2%
"Potassium, K", 168.00, MG, 4%
"Sodium, Na", 1.00, MG, 0%
"Zinc, Zn", 0.09, MG, 1%
"Copper, Cu", 0.111, MG, 12%
"Selenium, Se", 0.6, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 54.00, UG, 6%
"Carotene, beta", 640.00, UG, 
"Carotene, alpha", 9.00, UG, 
"Vitamin E", 0.90, MG, 4%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 10.00, UG, 
"Lycopene", 3.00, UG, 
"Lutein + zeaxanthin", 23.00, UG, 
"Vitamin C", 36.4, MG, 40%
"Thiamin", 0.028, MG, 2%
"Riboflavin", 0.038, MG, 3%
"Niacin", 0.669, MG, 4%
"Vitamin B6", 0.119, MG, 9%
"Folate", 43.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 7.6, MG, 
"Vitamin K", 4.2, UG, 4%
"Folic acid", 0.00, UG, 
"Folate, food", 43.00, UG, 
"Folate, DFE", 43.00, UG, 11%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.092, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.001, G, 
"Tetradecanoic acid", 0.013, G, 
"Hexadecanoic acid", 0.072, G, 
"Octadecanoic acid", 0.004, G, 
"Octadecenoic acid", 0.075, G, 
"Octadecadienoic acid", 0.019, G, 
"Octadecatrienoic acid", 0.051, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.067, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.140, G, 
"Polyunsaturated fatty acids", 0.071, G, 
"Tocopherol, alpha", 0.90, MG, 
"Net carbs", 13.38, g, 
# Downloaded from https://www.nutritionvalue.org 
