charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Mulberries, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 43.00, KCAL, 
"Fat", 0.39, G, 0%
"Protein", 1.44, G, 3%
"Carbohydrate", 9.80, G, 4%
"Folic acid", 0.00, UG, 
"Saturated fatty acids", 0.027, G, 0%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.006, G, 
"Octadecanoic acid", 0.020, G, 
"Octadecenoic acid", 0.041, G, 
"Octadecadienoic acid", 0.206, G, 
"Octadecatrienoic acid", 0.001, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Monounsaturated fatty acids", 0.041, G, 
"Polyunsaturated fatty acids", 0.207, G, 
"Carotene, beta", 9.00, UG, 
"Carotene, alpha", 12.00, UG, 
"Vitamin K", 7.8, UG, 6%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 8.10, G, 
"Vitamin E", 0.87, MG, 4%
"Lutein + zeaxanthin", 136.00, UG, 
"Vitamin D, IU", 0.00, IU, 
"Vitamin A, RAE", 1.00, UG, 0%
"Folate, food", 6.00, UG, 
"Choline", 12.3, MG, 
"Folate, DFE", 6.00, UG, 2%
"Alcohol, ethyl", 0.0, G, 
"Folate", 6.00, UG, 
"Vitamin B6", 0.050, MG, 4%
"Zinc, Zn", 0.12, MG, 1%
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Calcium, Ca", 39.00, MG, 3%
"Potassium, K", 194.00, MG, 4%
"Niacin", 0.620, MG, 4%
"Water", 87.68, G, 
"Ash", 0.69, G, 
"Vitamin C", 36.4, MG, 40%
"Thiamin", 0.029, MG, 2%
"Riboflavin", 0.101, MG, 8%
"Fiber", 1.7, G, 6%
"Iron, Fe", 1.85, MG, 10%
"Magnesium, Mg", 18.00, MG, 4%
"Phosphorus, P", 38.00, MG, 5%
"Sodium, Na", 10.00, MG, 0%
"Copper, Cu", 0.060, MG, 7%
"Vitamin A, IU", 25.00, IU, 
"Cholesterol", 0.00, MG, 0%
"Vitamin B12", 0.00, UG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Vitamin D", 0.00, UG, 0%
"Selenium, Se", 0.6, UG, 1%
"Tocopherol, alpha", 0.87, MG, 
"Net carbs", 8.1, g, 
# Downloaded from https://www.nutritionvalue.org 
