charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Nectarine, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 39.00, KCAL, 
"Fat", 0.28, G, 0%
"Protein", 1.06, G, 2%
"Carbohydrate", 9.18, G, 3%
"Alcohol, ethyl", 0.0, G, 
"Water", 89.00, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 7.89, G, 
"Fiber", 1.5, G, 5%
"Calcium, Ca", 2.00, MG, 0%
"Iron, Fe", 0.30, MG, 2%
"Magnesium, Mg", 9.00, MG, 2%
"Phosphorus, P", 26.00, MG, 4%
"Potassium, K", 131.00, MG, 3%
"Sodium, Na", 13.00, MG, 1%
"Zinc, Zn", 0.21, MG, 2%
"Copper, Cu", 0.082, MG, 9%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 21.00, UG, 2%
"Carotene, beta", 199.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.61, MG, 3%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 117.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 130.00, UG, 
"Vitamin C", 2.9, MG, 3%
"Thiamin", 0.034, MG, 3%
"Riboflavin", 0.027, MG, 2%
"Niacin", 1.120, MG, 7%
"Vitamin B6", 0.025, MG, 2%
"Folate", 6.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 6.2, MG, 
"Vitamin K", 2.0, UG, 2%
"Folic acid", 0.00, UG, 
"Folate, food", 6.00, UG, 
"Folate, DFE", 6.00, UG, 2%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.000, G, 
"Octadecanoic acid", 0.000, G, 
"Octadecenoic acid", 0.000, G, 
"Octadecadienoic acid", 0.000, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.000, G, 
"Polyunsaturated fatty acids", 0.000, G, 
"Tocopherol, alpha", 0.61, MG, 
"Net carbs", 7.68, g, 
# Downloaded from https://www.nutritionvalue.org 
