charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Nuts, raw, acorns
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 387.00, KCAL, 
"Fat", 23.86, G, 31%
"Protein", 6.15, G, 12%
"Carbohydrate", 40.75, G, 15%
"Folic acid", 0.00, UG, 
"Folate, DFE", 87.00, UG, 22%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 2.00, UG, 0%
"Water", 27.90, G, 
"Calcium, Ca", 41.00, MG, 3%
"Potassium, K", 539.00, MG, 11%
"Zinc, Zn", 0.51, MG, 5%
"Niacin", 1.827, MG, 11%
"Pantothenic acid", 0.715, MG, 14%
"Vitamin B6", 0.528, MG, 41%
"Isoleucine", 0.285, G, 20%
"Leucine", 0.489, G, 18%
"Lysine", 0.384, G, 18%
"Cystine", 0.109, G, 
"Valine", 0.345, G, 19%
"Arginine", 0.473, G, 
"Histidine", 0.170, G, 24%
"Aspartic acid", 0.635, G, 
"Serine", 0.261, G, 
"Hexadecanoic acid", 2.850, G, 
"Octadecanoic acid", 0.252, G, 
"Octadecenoic acid", 15.109, G, 
"Octadecadienoic acid", 4.596, G, 
"Monounsaturated fatty acids", 15.109, G, 
"Polyunsaturated fatty acids", 4.596, G, 
"Ash", 1.35, G, 
"Vitamin C", 0.0, MG, 0%
"Thiamin", 0.112, MG, 9%
"Riboflavin", 0.118, MG, 9%
"Folate", 87.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Folate, food", 87.00, UG, 
"Tryptophan", 0.074, G, 26%
"Threonine", 0.236, G, 22%
"Methionine", 0.103, G, 
"Phenylalanine", 0.269, G, 
"Tyrosine", 0.187, G, 
"Alanine", 0.350, G, 
"Glutamic acid", 0.986, G, 
"Glycine", 0.285, G, 
"Proline", 0.246, G, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 3.102, G, 16%
"Iron, Fe", 0.79, MG, 4%
"Magnesium, Mg", 62.00, MG, 16%
"Phosphorus, P", 79.00, MG, 11%
"Sodium, Na", 0.00, MG, 0%
"Copper, Cu", 0.621, MG, 69%
"Manganese, Mn", 1.337, MG, 58%
"Vitamin A, IU", 39.00, IU, 
"Phenylalanine + Tyrosine", 0.456, G, 26%
"Methionine + Cysteine", 0.103, G, 10%
"Net carbs", 40.75, g, 
# Downloaded from https://www.nutritionvalue.org 
