charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Olive oil
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 884.00, KCAL, 
"Fat", 100.00, G, 128%
"Protein", 0.00, G, 0%
"Carbohydrate", 0.00, G, 0%
"Alcohol, ethyl", 0.0, G, 
"Water", 0.00, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 0.00, G, 
"Fiber", 0.0, G, 0%
"Calcium, Ca", 1.00, MG, 0%
"Iron, Fe", 0.56, MG, 3%
"Magnesium, Mg", 0.00, MG, 0%
"Phosphorus, P", 0.00, MG, 0%
"Potassium, K", 1.00, MG, 0%
"Sodium, Na", 2.00, MG, 0%
"Zinc, Zn", 0.00, MG, 0%
"Copper, Cu", 0.000, MG, 0%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 14.35, MG, 64%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 0.0, MG, 0%
"Thiamin", 0.000, MG, 0%
"Riboflavin", 0.000, MG, 0%
"Niacin", 0.000, MG, 0%
"Vitamin B6", 0.000, MG, 0%
"Folate", 0.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 0.3, MG, 
"Vitamin K", 60.2, UG, 50%
"Folic acid", 0.00, UG, 
"Folate, food", 0.00, UG, 
"Folate, DFE", 0.00, UG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 13.808, G, 69%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 11.290, G, 
"Octadecanoic acid", 1.953, G, 
"Octadecenoic acid", 71.269, G, 
"Octadecadienoic acid", 9.762, G, 
"Octadecatrienoic acid", 0.761, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 1.255, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.311, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 72.961, G, 
"Polyunsaturated fatty acids", 10.523, G, 
"Tocopherol, alpha", 14.35, MG, 
"Net carbs", 0, g, 
# Downloaded from https://www.nutritionvalue.org 
