charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Wilderness poets, incan berries, (physalis peruviana) by Wilderness Poets LLC
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 286.00, KCAL, 
"Fat", 0.00, G, 0%
"Protein", 7.14, G, 14%
"Carbohydrate", 60.71, G, 22%
"Calcium, Ca", 0.00, MG, 0%
"Iron, Fe", 3.86, MG, 21%
"Vitamin A, IU", 8036.00, IU, 
"Vitamin C", 8.6, MG, 10%
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Sugars", 32.14, G, 
"Fiber", 10.7, G, 38%
"Sodium, Na", 89.00, MG, 4%
"Fatty acids, total trans", 0.000, G, 
"Net carbs", 50.01, g, 
# Downloaded from https://www.nutritionvalue.org 
