charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Blackberries, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 43.00, KCAL, 
"Fat", 0.49, G, 1%
"Protein", 1.39, G, 3%
"Carbohydrate", 9.61, G, 3%
"Folic acid", 0.00, UG, 
"Zinc, Zn", 0.53, MG, 5%
"Selenium, Se", 0.4, UG, 1%
"Vitamin E", 1.17, MG, 5%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.012, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.044, G, 
"Octadecadienoic acid", 0.186, G, 
"Octadecatrienoic acid", 0.094, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.004, G, 
"Docosenoic acid", 0.000, G, 
"Theobromine", 0.00, MG, 
"Sugars", 4.88, G, 
"Calcium, Ca", 29.00, MG, 2%
"Lutein + zeaxanthin", 118.00, UG, 
"Tocopherol, beta", 0.04, MG, 
"Tocopherol, gamma", 1.34, MG, 
"Tocotrienol, alpha", 0.00, MG, 
"Tocotrienol, beta", 0.00, MG, 
"Niacin", 0.646, MG, 4%
"Pantothenic acid", 0.276, MG, 6%
"Vitamin B6", 0.030, MG, 2%
"Sucrose", 0.07, G, 
"Glucose (dextrose)", 2.31, G, 
"Maltose", 0.07, G, 
"Water", 88.15, G, 
"Caffeine", 0.00, MG, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Ash", 0.37, G, 
"Starch", 0.00, G, 
"Fructose", 2.40, G, 
"Lactose", 0.00, G, 
"Alcohol, ethyl", 0.0, G, 
"Galactose", 0.03, G, 
"Fiber", 5.3, G, 19%
"Iron, Fe", 0.62, MG, 3%
"Magnesium, Mg", 20.00, MG, 5%
"Phosphorus, P", 22.00, MG, 3%
"Copper, Cu", 0.165, MG, 18%
"Manganese, Mn", 0.646, MG, 28%
"Vitamin A, IU", 214.00, IU, 
"Vitamin A, RAE", 11.00, UG, 1%
"Carotene, beta", 128.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Tocopherol, delta", 0.90, MG, 
"Tocotrienol, gamma", 0.00, MG, 
"Tocotrienol, delta", 0.00, MG, 
"Thiamin", 0.020, MG, 2%
"Riboflavin", 0.026, MG, 2%
"Folate", 25.00, UG, 
"Vitamin K (Dihydrophylloquinone)", 0.00, UG, 
"Vitamin K", 19.8, UG, 16%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Vitamin D, IU", 0.00, IU, 
"Folate, DFE", 25.00, UG, 6%
"Betaine", 0.3, MG, 
"Monounsaturated fatty acids", 0.047, G, 
"Polyunsaturated fatty acids", 0.280, G, 
"Choline", 8.5, MG, 
"Saturated fatty acids", 0.014, G, 0%
"Folate, food", 25.00, UG, 
"Sodium, Na", 1.00, MG, 0%
"Potassium, K", 162.00, MG, 3%
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Cholesterol", 0.00, MG, 0%
"Vitamin C", 21.0, MG, 23%
"Vitamin B12", 0.00, UG, 0%
"Vitamin B12, added", 0.00, UG, 
"Vitamin E, added", 0.00, MG, 
"Vitamin D", 0.00, UG, 0%
"Tocopherol, alpha", 1.17, MG, 
"Net carbs", 4.31, g, 
# Downloaded from https://www.nutritionvalue.org 
