charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Plum, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 46.00, KCAL, 
"Fat", 0.28, G, 0%
"Protein", 0.70, G, 1%
"Carbohydrate", 11.42, G, 4%
"Alcohol, ethyl", 0.0, G, 
"Water", 87.23, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 9.92, G, 
"Fiber", 1.4, G, 5%
"Calcium, Ca", 6.00, MG, 0%
"Iron, Fe", 0.17, MG, 1%
"Magnesium, Mg", 7.00, MG, 2%
"Phosphorus, P", 16.00, MG, 2%
"Potassium, K", 157.00, MG, 3%
"Sodium, Na", 0.00, MG, 0%
"Zinc, Zn", 0.10, MG, 1%
"Copper, Cu", 0.057, MG, 6%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 17.00, UG, 2%
"Carotene, beta", 190.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.26, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 35.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 73.00, UG, 
"Vitamin C", 9.5, MG, 11%
"Thiamin", 0.028, MG, 2%
"Riboflavin", 0.026, MG, 2%
"Niacin", 0.417, MG, 3%
"Vitamin B6", 0.029, MG, 2%
"Folate", 5.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 1.9, MG, 
"Vitamin K", 6.4, UG, 5%
"Folic acid", 0.00, UG, 
"Folate, food", 5.00, UG, 
"Folate, DFE", 5.00, UG, 1%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.017, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.014, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.132, G, 
"Octadecadienoic acid", 0.044, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.002, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.134, G, 
"Polyunsaturated fatty acids", 0.044, G, 
"Tocopherol, alpha", 0.26, MG, 
"Net carbs", 10.02, g, 
# Downloaded from https://www.nutritionvalue.org 
