charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pomegranate, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 83.00, KCAL, 
"Fat", 1.17, G, 2%
"Protein", 1.67, G, 3%
"Carbohydrate", 18.70, G, 7%
"Alcohol, ethyl", 0.0, G, 
"Water", 77.93, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 13.67, G, 
"Fiber", 4.0, G, 14%
"Calcium, Ca", 10.00, MG, 1%
"Iron, Fe", 0.30, MG, 2%
"Magnesium, Mg", 12.00, MG, 3%
"Phosphorus, P", 36.00, MG, 5%
"Potassium, K", 236.00, MG, 5%
"Sodium, Na", 3.00, MG, 0%
"Zinc, Zn", 0.35, MG, 3%
"Copper, Cu", 0.158, MG, 18%
"Selenium, Se", 0.5, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.60, MG, 3%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 10.2, MG, 11%
"Thiamin", 0.067, MG, 6%
"Riboflavin", 0.053, MG, 4%
"Niacin", 0.293, MG, 2%
"Vitamin B6", 0.075, MG, 6%
"Folate", 38.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 7.6, MG, 
"Vitamin K", 16.4, UG, 14%
"Folic acid", 0.00, UG, 
"Folate, food", 38.00, UG, 
"Folate, DFE", 38.00, UG, 10%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.120, G, 1%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.006, G, 
"Tetradecanoic acid", 0.006, G, 
"Hexadecanoic acid", 0.070, G, 
"Octadecanoic acid", 0.038, G, 
"Octadecenoic acid", 0.077, G, 
"Octadecadienoic acid", 0.079, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.012, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.004, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.093, G, 
"Polyunsaturated fatty acids", 0.079, G, 
"Tocopherol, alpha", 0.60, MG, 
"Net carbs", 14.7, g, 
# Downloaded from https://www.nutritionvalue.org 
