charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Dried pomelo
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 370.00, KCAL, 
"Fat", 0.00, G, 0%
"Protein", 3.53, G, 7%
"Carbohydrate", 35.27, G, 13%
"Calcium, Ca", 35.00, MG, 3%
"Iron, Fe", 0.63, MG, 4%
"Vitamin D, IU", 0.00, IU, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Sugars", 52.91, G, 
"Sodium, Na", 49.00, MG, 2%
"Fatty acids, total trans", 0.000, G, 
"Fiber", 3.5, G, 12%
"Net carbs", 31.77, g, 
# Downloaded from https://www.nutritionvalue.org 
