charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Quinces, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 57.00, KCAL, 
"Fat", 0.10, G, 0%
"Protein", 0.40, G, 1%
"Carbohydrate", 15.30, G, 6%
"Folic acid", 0.00, UG, 
"Folate, DFE", 3.00, UG, 1%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 2.00, UG, 0%
"Fatty acids, total trans", 0.000, G, 
"Ash", 0.40, G, 
"Vitamin C", 15.0, MG, 17%
"Thiamin", 0.020, MG, 2%
"Riboflavin", 0.030, MG, 2%
"Fiber", 1.9, G, 7%
"Iron, Fe", 0.70, MG, 4%
"Magnesium, Mg", 8.00, MG, 2%
"Phosphorus, P", 17.00, MG, 2%
"Sodium, Na", 4.00, MG, 0%
"Copper, Cu", 0.130, MG, 14%
"Vitamin A, IU", 40.00, IU, 
"Saturated fatty acids", 0.010, G, 0%
"Vitamin B12", 0.00, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Water", 83.80, G, 
"Calcium, Ca", 11.00, MG, 1%
"Potassium, K", 197.00, MG, 4%
"Niacin", 0.200, MG, 1%
"Pantothenic acid", 0.081, MG, 2%
"Vitamin B6", 0.040, MG, 3%
"Monounsaturated fatty acids", 0.036, G, 
"Polyunsaturated fatty acids", 0.050, G, 
"Hexadecanoic acid", 0.007, G, 
"Octadecanoic acid", 0.002, G, 
"Octadecenoic acid", 0.036, G, 
"Octadecadienoic acid", 0.049, G, 
"Folate, food", 3.00, UG, 
"Folate", 3.00, UG, 
"Alcohol, ethyl", 0.0, G, 
"Zinc, Zn", 0.04, MG, 0%
"Selenium, Se", 0.6, UG, 1%
"Net carbs", 13.4, g, 
# Downloaded from https://www.nutritionvalue.org 
