charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Rambutan, syrup pack, canned
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 82.00, KCAL, 
"Fat", 0.21, G, 0%
"Protein", 0.65, G, 1%
"Carbohydrate", 20.87, G, 8%
"Folic acid", 0.00, UG, 
"Folate, food", 8.00, UG, 
"Vitamin A, IU", 3.00, IU, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 2.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Cryptoxanthin, beta", 0.00, UG, 
"Folate, DFE", 8.00, UG, 2%
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Water", 78.04, G, 
"Calcium, Ca", 22.00, MG, 2%
"Potassium, K", 42.00, MG, 1%
"Zinc, Zn", 0.08, MG, 1%
"Niacin", 1.352, MG, 8%
"Pantothenic acid", 0.018, MG, 0%
"Vitamin B6", 0.020, MG, 2%
"Ash", 0.23, G, 
"Fiber", 0.9, G, 3%
"Iron, Fe", 0.35, MG, 2%
"Magnesium, Mg", 7.00, MG, 2%
"Phosphorus, P", 9.00, MG, 1%
"Sodium, Na", 11.00, MG, 0%
"Copper, Cu", 0.066, MG, 7%
"Manganese, Mn", 0.343, MG, 15%
"Vitamin C", 4.9, MG, 5%
"Thiamin", 0.013, MG, 1%
"Riboflavin", 0.022, MG, 2%
"Folate", 8.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Net carbs", 19.97, g, 
# Downloaded from https://www.nutritionvalue.org 
