charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Raspberries, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 52.00, KCAL, 
"Fat", 0.65, G, 1%
"Protein", 1.20, G, 2%
"Carbohydrate", 11.94, G, 4%
"Folic acid", 0.00, UG, 
"Vitamin D, IU", 0.00, IU, 
"Alcohol, ethyl", 0.0, G, 
"Folate, food", 21.00, UG, 
"Saturated fatty acids", 0.019, G, 0%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Choline", 12.3, MG, 
"Folate, DFE", 21.00, UG, 5%
"Betaine", 0.8, MG, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.016, G, 
"Octadecanoic acid", 0.004, G, 
"Octadecenoic acid", 0.059, G, 
"Octadecadienoic acid", 0.249, G, 
"Octadecatrienoic acid", 0.126, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.005, G, 
"Docosenoic acid", 0.000, G, 
"Monounsaturated fatty acids", 0.064, G, 
"Polyunsaturated fatty acids", 0.375, G, 
"Potassium, K", 151.00, MG, 3%
"Sodium, Na", 1.00, MG, 0%
"Vitamin C", 26.2, MG, 29%
"Thiamin", 0.032, MG, 3%
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Cholesterol", 0.00, MG, 0%
"Vitamin B12", 0.00, UG, 0%
"Vitamin B12, added", 0.00, UG, 
"Vitamin E, added", 0.00, MG, 
"Vitamin D", 0.00, UG, 0%
"Sucrose", 0.20, G, 
"Glucose (dextrose)", 1.86, G, 
"Maltose", 0.00, G, 
"Water", 85.75, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 4.42, G, 
"Calcium, Ca", 25.00, MG, 2%
"Zinc, Zn", 0.42, MG, 4%
"Selenium, Se", 0.2, UG, 0%
"Vitamin E", 0.87, MG, 4%
"Lutein + zeaxanthin", 136.00, UG, 
"Tocopherol, beta", 0.06, MG, 
"Tocopherol, gamma", 1.42, MG, 
"Tocotrienol, alpha", 0.00, MG, 
"Tocotrienol, beta", 0.00, MG, 
"Niacin", 0.598, MG, 4%
"Pantothenic acid", 0.329, MG, 7%
"Vitamin B6", 0.055, MG, 4%
"Vitamin K (Dihydrophylloquinone)", 0.00, UG, 
"Vitamin K", 7.8, UG, 6%
"Riboflavin", 0.038, MG, 3%
"Folate", 21.00, UG, 
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Tocopherol, delta", 1.04, MG, 
"Tocotrienol, gamma", 0.00, MG, 
"Tocotrienol, delta", 0.00, MG, 
"Vitamin A, RAE", 2.00, UG, 0%
"Carotene, beta", 12.00, UG, 
"Carotene, alpha", 16.00, UG, 
"Copper, Cu", 0.090, MG, 10%
"Manganese, Mn", 0.670, MG, 29%
"Vitamin A, IU", 33.00, IU, 
"Galactose", 0.00, G, 
"Fiber", 6.5, G, 23%
"Iron, Fe", 0.69, MG, 4%
"Magnesium, Mg", 22.00, MG, 6%
"Phosphorus, P", 29.00, MG, 4%
"Ash", 0.46, G, 
"Starch", 0.00, G, 
"Fructose", 2.35, G, 
"Lactose", 0.00, G, 
"Tocopherol, alpha", 0.87, MG, 
"Net carbs", 5.44, g, 
# Downloaded from https://www.nutritionvalue.org 
