charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Wheat berry salad kit by Meijer, Inc.
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 118.00, KCAL, 
"Fat", 4.71, G, 6%
"Protein", 2.35, G, 5%
"Carbohydrate", 17.65, G, 6%
"Vitamin D, IU", 0.00, IU, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Sugars", 3.53, G, 
"Fiber", 3.5, G, 12%
"Calcium, Ca", 52.00, MG, 4%
"Iron, Fe", 1.18, MG, 7%
"Potassium, K", 265.00, MG, 6%
"Sodium, Na", 106.00, MG, 5%
"Fatty acids, total trans", 0.000, G, 
"Monounsaturated fatty acids", 0.000, G, 
"Polyunsaturated fatty acids", 0.000, G, 
"Net carbs", 14.15, g, 
# Downloaded from https://www.nutritionvalue.org 
