charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Strawberries, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 32.00, KCAL, 
"Fat", 0.30, G, 0%
"Protein", 0.67, G, 1%
"Carbohydrate", 7.68, G, 3%
"Folic acid", 0.00, UG, 
"Starch", 0.04, G, 
"Alcohol, ethyl", 0.0, G, 
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Tocopherol, delta", 0.01, MG, 
"Tocotrienol, gamma", 0.00, MG, 
"Tocotrienol, delta", 0.00, MG, 
"Manganese, Mn", 0.386, MG, 17%
"Carotene, beta", 7.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin K (Dihydrophylloquinone)", 0.00, UG, 
"Vitamin K", 2.2, UG, 2%
"Lutein + zeaxanthin", 26.00, UG, 
"Tocopherol, beta", 0.01, MG, 
"Tocopherol, gamma", 0.08, MG, 
"Tocotrienol, alpha", 0.01, MG, 
"Tocotrienol, beta", 0.00, MG, 
"Pantothenic acid", 0.125, MG, 2%
"Vitamin D, IU", 0.00, IU, 
"Isoleucine", 0.016, G, 1%
"Leucine", 0.034, G, 1%
"Lysine", 0.026, G, 1%
"Cystine", 0.006, G, 
"Valine", 0.019, G, 1%
"Arginine", 0.028, G, 
"Histidine", 0.012, G, 2%
"Aspartic acid", 0.149, G, 
"Serine", 0.025, G, 
"Vitamin E", 0.29, MG, 1%
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Methionine", 0.002, G, 
"Phenylalanine", 0.019, G, 
"Tyrosine", 0.022, G, 
"Alanine", 0.033, G, 
"Glutamic acid", 0.098, G, 
"Glycine", 0.026, G, 
"Proline", 0.020, G, 
"Tryptophan", 0.008, G, 3%
"Threonine", 0.020, G, 2%
"Vitamin B6", 0.047, MG, 4%
"Water", 90.95, G, 
"Zinc, Zn", 0.14, MG, 1%
"Selenium, Se", 0.4, UG, 1%
"Niacin", 0.386, MG, 2%
"Fiber", 2.0, G, 7%
"Magnesium, Mg", 13.00, MG, 3%
"Phosphorus, P", 24.00, MG, 3%
"Ash", 0.40, G, 
"Copper, Cu", 0.048, MG, 5%
"Vitamin C", 58.8, MG, 65%
"Thiamin", 0.024, MG, 2%
"Riboflavin", 0.022, MG, 2%
"Folate", 24.00, UG, 
"Sodium, Na", 1.00, MG, 0%
"Potassium, K", 153.00, MG, 3%
"Fluoride, F", 4.4, UG, 
"Sugars", 4.89, G, 
"Calcium, Ca", 16.00, MG, 1%
"Sucrose", 0.47, G, 
"Glucose (dextrose)", 1.99, G, 
"Maltose", 0.00, G, 
"Choline", 5.7, MG, 
"Folate, DFE", 24.00, UG, 6%
"Betaine", 0.2, MG, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.012, G, 
"Octadecanoic acid", 0.003, G, 
"Octadecenoic acid", 0.042, G, 
"Octadecadienoic acid", 0.090, G, 
"Octadecatrienoic acid", 0.065, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Monounsaturated fatty acids", 0.043, G, 
"Polyunsaturated fatty acids", 0.155, G, 
"Saturated fatty acids", 0.015, G, 0%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.001, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Iron, Fe", 0.41, MG, 2%
"Galactose", 0.00, G, 
"Fructose", 2.44, G, 
"Lactose", 0.00, G, 
"Vitamin A, IU", 12.00, IU, 
"Folate, food", 24.00, UG, 
"Vitamin A, RAE", 1.00, UG, 0%
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Vitamin B12", 0.00, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Phytosterols", 12.00, MG, 
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Vitamin D", 0.00, UG, 0%
"Tocopherol, alpha", 0.29, MG, 
"Phenylalanine + Tyrosine", 0.041, G, 2%
"Methionine + Cysteine", 0.002, G, 0%
"Net carbs", 5.68, g, 
# Downloaded from https://www.nutritionvalue.org 
