charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Fruta tamarillo whole by Goya Foods, Inc.
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 30.00, KCAL, 
"Fat", 1.03, G, 1%
"Protein", 1.03, G, 2%
"Carbohydrate", 8.25, G, 3%
"Calcium, Ca", 10.00, MG, 1%
"Iron, Fe", 0.56, MG, 3%
"Vitamin A, IU", 1134.00, IU, 
"Vitamin C", 20.4, MG, 23%
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Sugars", 7.22, G, 
"Fiber", 1.0, G, 4%
"Sodium, Na", 3.00, MG, 0%
"Fatty acids, total trans", 0.000, G, 
"Net carbs", 7.25, g, 
# Downloaded from https://www.nutritionvalue.org 
