charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Tomatoes, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 18.00, KCAL, 
"Fat", 0.20, G, 0%
"Protein", 0.88, G, 2%
"Carbohydrate", 3.89, G, 1%
"Alcohol, ethyl", 0.0, G, 
"Water", 94.52, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 2.63, G, 
"Fiber", 1.2, G, 4%
"Calcium, Ca", 10.00, MG, 1%
"Iron, Fe", 0.27, MG, 2%
"Magnesium, Mg", 11.00, MG, 3%
"Phosphorus, P", 24.00, MG, 3%
"Potassium, K", 237.00, MG, 5%
"Sodium, Na", 5.00, MG, 0%
"Zinc, Zn", 0.17, MG, 2%
"Copper, Cu", 0.059, MG, 7%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 42.00, UG, 5%
"Carotene, beta", 449.00, UG, 
"Carotene, alpha", 101.00, UG, 
"Vitamin E", 0.54, MG, 2%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 2573.00, UG, 
"Lutein + zeaxanthin", 123.00, UG, 
"Vitamin C", 13.7, MG, 15%
"Thiamin", 0.037, MG, 3%
"Riboflavin", 0.019, MG, 1%
"Niacin", 0.594, MG, 4%
"Vitamin B6", 0.080, MG, 6%
"Folate", 15.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 6.7, MG, 
"Vitamin K", 7.9, UG, 7%
"Folic acid", 0.00, UG, 
"Folate, food", 15.00, UG, 
"Folate, DFE", 15.00, UG, 4%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.028, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.020, G, 
"Octadecanoic acid", 0.008, G, 
"Octadecenoic acid", 0.030, G, 
"Octadecadienoic acid", 0.080, G, 
"Octadecatrienoic acid", 0.003, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.001, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.031, G, 
"Polyunsaturated fatty acids", 0.083, G, 
"Tocopherol, alpha", 0.54, MG, 
"Net carbs", 2.69, g, 
# Downloaded from https://www.nutritionvalue.org 
