charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Watermelon, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 30.00, KCAL, 
"Fat", 0.15, G, 0%
"Protein", 0.61, G, 1%
"Carbohydrate", 7.55, G, 3%
"Folic acid", 0.00, UG, 
"Vitamin D, IU", 0.00, IU, 
"Ash", 0.25, G, 
"Starch", 0.00, G, 
"Fiber", 0.4, G, 1%
"Iron, Fe", 0.24, MG, 1%
"Magnesium, Mg", 10.00, MG, 2%
"Phosphorus, P", 11.00, MG, 2%
"Copper, Cu", 0.042, MG, 5%
"Manganese, Mn", 0.038, MG, 2%
"Vitamin A, IU", 569.00, IU, 
"Vitamin A, RAE", 28.00, UG, 3%
"Carotene, beta", 303.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Cryptoxanthin, beta", 78.00, UG, 
"Lycopene", 4532.00, UG, 
"Tocopherol, delta", 0.00, MG, 
"Tocotrienol, gamma", 0.00, MG, 
"Tocotrienol, delta", 0.00, MG, 
"Vitamin C", 8.1, MG, 9%
"Thiamin", 0.033, MG, 3%
"Riboflavin", 0.021, MG, 2%
"Folate", 3.00, UG, 
"Vitamin K (Dihydrophylloquinone)", 0.00, UG, 
"Vitamin K", 0.1, UG, 0%
"Lutein + zeaxanthin", 8.00, UG, 
"Tocopherol, beta", 0.00, MG, 
"Tocopherol, gamma", 0.00, MG, 
"Tocotrienol, alpha", 0.01, MG, 
"Tocotrienol, beta", 0.00, MG, 
"Niacin", 0.178, MG, 1%
"Pantothenic acid", 0.221, MG, 4%
"Vitamin B6", 0.045, MG, 3%
"Sugars", 6.20, G, 
"Calcium, Ca", 7.00, MG, 1%
"Zinc, Zn", 0.10, MG, 1%
"Selenium, Se", 0.4, UG, 1%
"Vitamin E", 0.05, MG, 0%
"Water", 91.45, G, 
"Alcohol, ethyl", 0.0, G, 
"Sucrose", 1.21, G, 
"Glucose (dextrose)", 1.58, G, 
"Maltose", 0.06, G, 
"Fluoride, F", 1.5, UG, 
"Choline", 4.1, MG, 
"Folate, DFE", 3.00, UG, 1%
"Betaine", 0.3, MG, 
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Decanoic acid", 0.001, G, 
"Hexadecanoic acid", 0.008, G, 
"Octadecanoic acid", 0.006, G, 
"Octadecenoic acid", 0.037, G, 
"Octadecadienoic acid", 0.050, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Docosenoic acid", 0.000, G, 
"Monounsaturated fatty acids", 0.037, G, 
"Polyunsaturated fatty acids", 0.050, G, 
"Saturated fatty acids", 0.016, G, 0%
"Octanoic acid", 0.000, G, 
"Dodecanoic acid", 0.001, G, 
"Tetradecanoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Fructose", 3.36, G, 
"Lactose", 0.00, G, 
"Folate, food", 3.00, UG, 
"Galactose", 0.00, G, 
"Potassium, K", 112.00, MG, 2%
"Sodium, Na", 1.00, MG, 0%
"Retinol", 0.00, UG, 
"Fatty acids, total trans", 0.000, G, 
"Tryptophan", 0.007, G, 2%
"Threonine", 0.027, G, 3%
"Methionine", 0.006, G, 
"Phenylalanine", 0.015, G, 
"Tyrosine", 0.012, G, 
"Alanine", 0.017, G, 
"Glutamic acid", 0.063, G, 
"Glycine", 0.010, G, 
"Vitamin B12", 0.00, UG, 0%
"Cholesterol", 0.00, MG, 0%
"Proline", 0.024, G, 
"Phytosterols", 2.00, MG, 
"Isoleucine", 0.019, G, 1%
"Leucine", 0.018, G, 1%
"Lysine", 0.062, G, 3%
"Cystine", 0.002, G, 
"Valine", 0.016, G, 1%
"Arginine", 0.059, G, 
"Histidine", 0.006, G, 1%
"Aspartic acid", 0.039, G, 
"Serine", 0.016, G, 
"Vitamin B12, added", 0.00, UG, 
"Vitamin E, added", 0.00, MG, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Vitamin D", 0.00, UG, 0%
"Tocopherol, alpha", 0.05, MG, 
"Phenylalanine + Tyrosine", 0.027, G, 2%
"Methionine + Cysteine", 0.006, G, 1%
"Net carbs", 7.15, g, 
# Downloaded from https://www.nutritionvalue.org 
